繁體,簡體,拼音,詞例,定義,又作
著,着,dzœk⁸,著衣，穿著，衣著，著西服，衣著打扮,穿衣服
嚼,嚼,dzœk⁸,嚼舌，嚼食，嚼子，咀嚼，嚼不爛，細嚼慢嚥，咬文嚼字，味同嚼蠟，過屠門而大嚼,用牙齒咬碎食物
酌,酌,dzœk⁸
灼,灼,dzœk⁸
雀,雀,dzœk⁸
爵,爵,dzœk⁸
斫,斫,dzœk⁸,斫伐，斫鼻，斫樹，斫營，斫木,砍，斬；用刀斧砍削或劈樹,斲
妁,妁,dzœk⁸
焯,焯,dzœk⁸/tsœk⁸,焯燦，焯見,顯明，光明，明顯，明白
芍,芍,dzœk⁸/tsœk⁸
勺,勺,dzœk⁸/tsœk⁸/sœk⁸,"","",杓
著,着,dzœk⁹,著涼，著急，著火，著迷，著慌，著忙，著魔，著熱，著雨，著陸，著重，著手，著色，著實，著想，著筆，著力，著墨，著意，著落，著人，睡著，猜著，打著，沉著，執著，無著，膠著，聽著，跑著，拿著，笑著，附著物，黏著力，見不著，見不著，犯不著，合不著，數得著，著手成春，歪打正著，不著邊際，不著痕跡，著三不著兩,接觸，感受；下棋走一步；手段，辦法（助詞）表示動作正在進行；表示有了結果或達到目的
著,著,dzœk⁹,土著,世居本地的人
準,准,dzœn²
儘,尽,dzœn²
准,准,dzœn²
隼,隼,dzœn²
藎,荩,dzœn²
進,进,dzœn³
俊,俊,dzœn³
晉,晋,dzœn³
駿,骏,dzœn³
竣,竣,dzœn³
縉,缙,dzœn³,"","",搢
峻,峻,dzœn³
浚,浚,dzœn³,浚河，浚渠，浚井，疏浚,疏通，挖深,濬
畯,畯,dzœn³
焌,焌,dzœn³,"",用火來燒東西
雋,隽,dzœn³,雋才,傑出，出眾，英俊，才能過人
臻,臻,dzœn¹
諄,谆,dzœn¹
津,津,dzœn¹
榛,榛,dzœn¹
樽,樽,dzœn¹
蓁,蓁,dzœn¹
肫,肫,dzœn¹
遵,遵,dzœn¹/dzyn¹
盡,尽,dzœn⁶
燼,烬,dzœn⁶
黜,黜,dzœt⁷
怵,怵,dzœt⁷
卒,卒,dzœt⁷
咀,咀,dzœy²
齟,龃,dzœy²
沮,沮,dzœy²
嘴,嘴,dzœy²
醉,醉,dzœy³
惴,惴,dzœy³
贅,赘,dzœy³
最,最,dzœy³
綴,缀,dzœy³/dzœy⁶
狙,狙,dzœy¹
椎,椎,dzœy¹
錐,锥,dzœy¹
追,追,dzœy¹
疽,疽,dzœy¹
蛆,蛆,dzœy¹/tsœy¹
苴,苴,dzœy¹/tsœy¹,苴麻,一種植物
罪,罪,dzœy⁶
序,序,dzœy⁶
嶼,屿,dzœy⁶,島嶼,小島
墜,坠,dzœy⁶
敘,叙,dzœy⁶
聚,聚,dzœy⁶
漵,溆,dzœy⁶
掌,掌,dzœŋ²
長,长,dzœŋ²,長大，廠長,（動詞、名詞）
獎,奖,dzœŋ²
槳,桨,dzœŋ²
蔣,蒋,dzœŋ²
漲,涨,dzœŋ²/dzœŋ³,漲價，漲落，漲潮，漲價，漲幅，漲錢，高漲，上漲，暴漲，看漲，漲停，水漲船高,水上升，水量增加，水面提高；增長，增高，上升，提高
將,将,dzœŋ³,將官，將領，將帥，將校，將士，將兵，上將，中將，少將,（軍銜名）高級軍官；（書）帶領，統領
賬,账,dzœŋ³,"","",帳
醬,酱,dzœŋ³
瘴,瘴,dzœŋ³
障,障,dzœŋ³
仗,仗,dzœŋ³,打仗，敗仗，勝仗,（名詞）戰爭，戰鬥
帳,帐,dzœŋ³
漲,涨,dzœŋ³,漲紅，漲大，漲紅了臉，煙塵漲天,擴大，擴張，變大，充滿
脹,胀,dzœŋ³
幛,幛,dzœŋ³
嶂,嶂,dzœŋ³
漳,漳,dzœŋ¹
張,张,dzœŋ¹
漿,浆,dzœŋ¹
章,章,dzœŋ¹
將,将,dzœŋ¹,將軍，將來，將要，將就，將近，即將，將信將疑,（介詞、副詞、連詞）快要；把；又，且；拿，用；調養；（象棋）攻擊對方的將或帥
蟑,蟑,dzœŋ¹
璋,璋,dzœŋ¹
樟,樟,dzœŋ¹
彰,彰,dzœŋ¹
獐,獐,dzœŋ¹,"","",麞
嫜,嫜,dzœŋ¹
鄣,鄣,dzœŋ¹
象,象,dzœŋ⁶
丈,丈,dzœŋ⁶
仗,仗,dzœŋ⁶,仗劍，倚仗，仗勢欺人，仗義執言,（動詞）憑藉，依靠
像,像,dzœŋ⁶
橡,橡,dzœŋ⁶
匠,匠,dzœŋ⁶
杖,杖,dzœŋ⁶
仔,仔,dzɐi²,牛仔褲,小孩，男孩，幼小動物
濟,济,dzɐi²,濟南，濟寧，濟源，濟水，濟濟一堂,（地名）
祭,祭,dzɐi³
製,制,dzɐi³
霽,霁,dzɐi³
濟,济,dzɐi³,濟貧，經濟，賑濟，接濟，無濟於事，同舟共濟,過河，救助，有益
制,制,dzɐi³
際,际,dzɐi³
掣,掣,dzɐi³,掣肘，牽掣，風馳電掣,拽，拉；迅疾，閃過
穄,穄,dzɐi³
躋,跻,dzɐi¹
齏,齑,dzɐi¹
劑,剂,dzɐi¹
擠,挤,dzɐi¹
滯,滞,dzɐi⁶
側,侧,dzɐk⁷
則,则,dzɐk⁷
昃,昃,dzɐk⁷
仄,仄,dzɐk⁷
枕,枕,dzɐm²,枕頭，枕木，同床共枕,（名詞）躺著的時候墊在頭下的東西
怎,怎,dzɐm²
浸,浸,dzɐm³
枕,枕,dzɐm³,枕戈待旦,（動詞）把頭放在枕頭上，用枕頭墊頭
針,针,dzɐm¹
箴,箴,dzɐm¹
砧,砧,dzɐm¹
斟,斟,dzɐm¹
鴆,鸩,dzɐm⁶
朕,朕,dzɐm⁶
軫,轸,dzɐn²/tsɐn²
振,振,dzɐn³
賑,赈,dzɐn³
鎮,镇,dzɐn³
震,震,dzɐn³
圳,圳,dzɐn³
胗,胗,dzɐn¹
珍,珍,dzɐn¹
真,真,dzɐn¹,"","",眞
陣,阵,dzɐn⁶
汁,汁,dzɐp⁷
執,执,dzɐp⁷
質,质,dzɐt⁷,質量，質的，性質，物質，品質，優質，實質，變質，質疑，質問,事物的根本、特性、本性等；詢問，詰問，責問
姪,侄,dzɐt⁹
窒,窒,dzɐt⁹
桎,桎,dzɐt⁹
疾,疾,dzɐt⁹
蟄,蛰,dzɐt⁹
嫉,嫉,dzɐt⁹
蛭,蛭,dzɐt⁹
蒺,蒺,dzɐt⁹
酒,酒,dzɐu²
肘,肘,dzɐu²
帚,帚,dzɐu²
走,走,dzɐu²
奏,奏,dzɐu³
揍,揍,dzɐu³
晝,昼,dzɐu³
咒,咒,dzɐu³
皺,皱,dzɐu³
縐,绉,dzɐu³
舟,舟,dzɐu¹
周,周,dzɐu¹,周圍，圓周
州,州,dzɐu¹
揪,揪,dzɐu¹
週,周,dzɐu¹,週末，週刊，週年，週遊
洲,洲,dzɐu¹
謅,诌,dzɐu¹
鄒,邹,dzɐu¹
陬,陬,dzɐu¹
輈,辀,dzɐu¹
諏,诹,dzɐu¹
揫,揫,dzɐu¹
鷲,鹫,dzɐu⁶
冑,冑,dzɐu⁶
袖,袖,dzɐu⁶
就,就,dzɐu⁶
紂,纣,dzɐu⁶
宙,宙,dzɐu⁶
岫,岫,dzɐu⁶
驟,骤,dzɐu⁶/dzau⁶
僧,僧,dzɐŋ¹
憎,憎,dzɐŋ¹
曾,曾,dzɐŋ¹,"",（姓）
箏,筝,dzɐŋ¹
增,增,dzɐŋ¹
錚,铮,dzɐŋ¹
掙,挣,dzɐŋ¹,掙扎,用力支撐或儘力擺脫
睜,睁,dzɐŋ¹
爭,争,dzɐŋ¹
猙,狰,dzɐŋ¹
琤,琤,dzɐŋ¹
崢,峥,dzɐŋ¹/dzaŋ¹
贈,赠,dzɐŋ⁶
甑,甑,dzɐŋ⁶
載,载,dzɔi²,千載難逢，三年五載，一年半載,年
宰,宰,dzɔi²
崽,崽,dzɔi²
再,再,dzɔi³
載,载,dzɔi³,載貨，載客，承載，運載，搭載，下載，登載，過載，記載，刊載，轉載，連載，記載，刊載，轉載，連載，載歌載舞，滿載而歸，怨聲載道,裝運，用交通工具裝東西
栽,栽,dzɔi¹
哉,哉,dzɔi¹
災,灾,dzɔi¹
在,在,dzɔi⁶
作,作,dzɔk⁸
昨,昨,dzɔk⁸/dzɔk⁹
鑿,凿,dzɔk⁹
擢,擢,dzɔk⁹
酢,酢,dzɔk⁹,"",客人向主人敬酒
濯,濯,dzɔk⁹
柞,柞,dzɔk⁹,柞樹，柞櫟，柞蠶,一種落葉喬木
左,左,dzɔ²
阻,阻,dzɔ²
俎,俎,dzɔ²
佐,佐,dzɔ³
詛,诅,dzɔ³/dzɔ²
駔,驵,dzɔŋ²,駔儈,買賣馬的經紀人
壯,壮,dzɔŋ³
葬,葬,dzɔŋ³
戇,戆,dzɔŋ³/ŋɔŋ⁶
樁,桩,dzɔŋ¹
妝,妆,dzɔŋ¹
莊,庄,dzɔŋ¹
裝,装,dzɔŋ¹
髒,脏,dzɔŋ¹
贓,赃,dzɔŋ¹
奘,奘,dzɔŋ⁶
藏,藏,dzɔŋ⁶,藏人，西藏，寶藏,指西藏
狀,状,dzɔŋ⁶
撞,撞,dzɔŋ⁶
臟,脏,dzɔŋ⁶
僮,僮,dzɔŋ⁶,僮族,（中國少數民族）指壯族
坐,坐,dzɔ⁶
座,座,dzɔ⁶
助,助,dzɔ⁶
唑,唑,dzɔ⁶
隻,只,dzɛk⁸
跖,跖,dzɛk⁸
者,者,dzɛ²
姐,姐,dzɛ²
赭,赭,dzɛ²
蔗,蔗,dzɛ³
借,借,dzɛ³,借錢，借書,暫時用別人的財物
柘,柘,dzɛ³
鷓,鹧,dzɛ³
藉,借,dzɛ³/dzik⁹,藉口，藉故，藉機，藉助，藉詞，藉著，藉以，藉端，憑藉，藉著權勢,假託，假借，依賴，依靠
遮,遮,dzɛ¹
嗟,嗟,dzɛ¹
嗻,嗻,dzɛ¹
井,井,dzɛŋ²/dzɪŋ²
鄭,郑,dzɛŋ⁶
這,这,dzɛ⁵/dzɛ³
謝,谢,dzɛ⁶
榭,榭,dzɛ⁶
整,整,dzɪŋ²
症,症,dzɪŋ³
證,证,dzɪŋ³,"","",証
正,正,dzɪŋ³,正式，正常，正當，正經，正面，正義，正門，正好，正派，修正，改正，糾正，端正，公正，純正，方正,不偏斜的，不歪斜的，符合規範的，符合標準方向的
政,政,dzɪŋ³
幀,帧,dzɪŋ³
征,征,dzɪŋ¹
怔,怔,dzɪŋ¹
徵,征,dzɪŋ¹
正,正,dzɪŋ¹,正月，新正,農曆每年的第一月
旌,旌,dzɪŋ¹
晶,晶,dzɪŋ¹
精,精,dzɪŋ¹
禎,祯,dzɪŋ¹
鉦,钲,dzɪŋ¹
貞,贞,dzɪŋ¹
菁,菁,dzɪŋ¹
偵,侦,dzɪŋ¹
蒸,蒸,dzɪŋ¹
睛,睛,dzɪŋ¹
烝,烝,dzɪŋ¹
癥,症,dzɪŋ¹
箐,箐,dzɪŋ¹
楨,桢,dzɪŋ¹
靖,靖,dzɪŋ⁶
靜,静,dzɪŋ⁶
淨,净,dzɪŋ⁶
靚,靓,dzɪŋ⁶,靚衣，靚妝,妝飾或打扮艷麗、美好
婧,婧,dzɪŋ⁶
阱,阱,dzɪŋ⁶/dzɛŋ⁶
足,足,dzʊk⁷
竹,竹,dzʊk⁷
祝,祝,dzʊk⁷
粥,粥,dzʊk⁷
捉,捉,dzʊk⁷
矚,瞩,dzʊk⁷
燭,烛,dzʊk⁷
囑,嘱,dzʊk⁷
竺,竺,dzʊk⁷
築,筑,dzʊk⁷
瘃,瘃,dzʊk⁷/dzʊk⁹
觸,触,dzʊk⁷/tsʊk⁷
鐲,镯,dzʊk⁹
族,族,dzʊk⁹
逐,逐,dzʊk⁹
濁,浊,dzʊk⁹
軸,轴,dzʊk⁹
續,续,dzʊk⁹
妯,妯,dzʊk⁹
俗,俗,dzʊk⁹
躅,躅,dzʊk⁹
鏃,镞,dzʊk⁹,箭鏃,箭頭
舳,舳,dzʊk⁹
種,种,dzʊŋ²,種子，種類，品種，物種，各種，絕種,（名詞）種子，類別
腫,肿,dzʊŋ²
總,总,dzʊŋ²
踵,踵,dzʊŋ²/dʊŋ²
縱,纵,dzʊŋ³,縱情，縱容，縱火，縱然，放縱，縱身一跳，縱虎歸山，欲擒故縱,釋放，放肆；即使
中,中,dzʊŋ³,中的，中獎，中彩，中選，中意，中肯，中計，中風，中毒，中暑，中槍，中彈，中傷，中伏，中箭，中標，中邪，打中，擊中，考中，猜中，看中，說中，命中，射中，中詭計，中規中矩，一語中的，正中下懷，百發百中，言必有中,射中目標，遭受
種,种,dzʊŋ³,種植，種田，種樹，種花，種菜，接種，種牛痘，種麥子，種棉花,（動詞）種植；接種疫苗
眾,众,dzʊŋ³,"","",衆
粽,粽,dzʊŋ³/dzʊŋ²,"","",糉
中,中,dzʊŋ¹,中間，中心，中途，中等，中級，中央，中樞，中文，中醫，中外，中原，中學，中庸，中部，中立，中介，中秋，中斷，中止，中用，中看，中聽，心中，山中，空中，其中，當中，適中，集中，意中人，眼中釘，肉中刺，心目中，進行中，調查中，急中生智，雪中送炭,與四周圍距離相等，裡面，之間；適於，合於
終,终,dzʊŋ¹
縱,纵,dzʊŋ¹,縱線，縱橫，縱隊，縱貫，縱剖面,直
盅,盅,dzʊŋ¹
宗,宗,dzʊŋ¹
棕,棕,dzʊŋ¹
鍾,钟,dzʊŋ¹
忠,忠,dzʊŋ¹
鬃,鬃,dzʊŋ¹
螽,螽,dzʊŋ¹
蹤,踪,dzʊŋ¹
鐘,钟,dzʊŋ¹
樅,枞,dzʊŋ¹,樅陽,（地名）
舂,舂,dzʊŋ¹
忪,忪,dzʊŋ¹,怔忪，心忪,心跳，驚懼
綜,综,dzʊŋ¹/dzʊŋ³
重,重,dzʊŋ⁶,重要，重大，重任，重視，重點，重心，重用，重責，重鎮，嚴重，慎重，鄭重，莊重，尊重，敬重，器重，看重，側重，穩重，保重，自重，珍重，重於泰山，重男輕女，任重道遠，語重心長，德高望重,要緊的，意義大的；尊敬；不輕率
訟,讼,dzʊŋ⁶
誦,诵,dzʊŋ⁶
頌,颂,dzʊŋ⁶
仲,仲,dzʊŋ⁶
從,从,dzʊŋ⁶/tsʊŋ⁴,從犯，從吏，隨從，侍從，僕從，主從，從兄，從叔，主從關係,跟隨的人，僕役；附和的，附加的；親族同祖的
啄,啄,dœk⁸
琢,琢,dœk⁸
斲,斫,dœk⁸,斲輪，斲喪,砍，削，雕
涿,涿,dœk⁸
墩,墩,dœn¹,土墩,量詞，也指土堆
蹲,蹲,dœn¹
惇,惇,dœn¹
敦,敦,dœn¹
鐓,镦,dœn¹
噸,吨,dœn¹
礅,礅,dœn¹
遁,遁,dœn⁶
頓,顿,dœn⁶
鈍,钝,dœn⁶
沌,沌,dœn⁶
盹,盹,dœn⁶
咄,咄,dœt⁷,咄咄逼人,斥責，呵叱
對,对,dœy³
堆,堆,dœy¹
隊,队,dœy⁶
兌,兑,dœy⁶
抵,抵,dɐi²
柢,柢,dɐi²
底,底,dɐi²
骶,骶,dɐi²
詆,诋,dɐi²
邸,邸,dɐi²
碲,碲,dɐi³
帝,帝,dɐi³
蒂,蒂,dɐi³
締,缔,dɐi³
諦,谛,dɐi³
低,低,dɐi¹
磾,磾,dɐi¹
弟,弟,dɐi⁶
悌,悌,dɐi⁶
棣,棣,dɐi⁶
遞,递,dɐi⁶
第,第,dɐi⁶
隸,隶,dɐi⁶
逮,逮,dɐi⁶/dɔi⁶
德,德,dɐk⁷
得,得,dɐk⁷
特,特,dɐk⁹
墩,墩,dɐn²,門墩，橋墩,厚而粗的木頭、石頭等
蹾,蹾,dɐn¹
燉,炖,dɐn⁶
突,突,dɐt⁹
凸,凸,dɐt⁹
吐,吐,dɐt⁹,吐谷渾,（中國古代少數民族）
陡,陡,dɐu²
斗,斗,dɐu²
抖,抖,dɐu²
蚪,蚪,dɐu²
枓,枓,dɐu²
糾,纠,dɐu²/gɐu²
鬥,斗,dɐu³
藪,薮,dɐu³,鶴藪,（地名）
兜,兜,dɐu¹
竇,窦,dɐu⁶
痘,痘,dɐu⁶
逗,逗,dɐu⁶
讀,读,dɐu⁶,句讀,（古）文章裡停頓的地方
豆,豆,dɐu⁶/dɐu²,"","",荳
等,等,dɐŋ²
戥,戥,dɐŋ²
凳,凳,dɐŋ³,"","",櫈
鐙,镫,dɐŋ³
磴,磴,dɐŋ³
燈,灯,dɐŋ¹
蹬,蹬,dɐŋ¹
登,登,dɐŋ¹
噔,噔,dɐŋ¹
鄧,邓,dɐŋ⁶
瞪,瞪,dɐŋ⁶/dɐŋ¹
袋,袋,dɔi⁶
待,待,dɔi⁶
甙,甙,dɔi⁶
岱,岱,dɔi⁶
黛,黛,dɔi⁶
靆,叇,dɔi⁶
代,代,dɔi⁶
玳,玳,dɔi⁶
殆,殆,dɔi⁶/tɔi⁵
度,度,dɔk⁹,忖度，揣度，量度，測度，猜度，度量衡，度德量力，以己度人,計算，推測，估計
鐸,铎,dɔk⁹
踱,踱,dɔk⁹
跺,跺,dɔ²,"","",跥
躲,躲,dɔ²
嚲,亸,dɔ²
埵,埵,dɔ²
剁,剁,dɔ²/dœk⁸
朵,朵,dɔ²/dœ²,"","",朶
多,多,dɔ¹
哆,哆,dɔ¹
擋,挡,dɔŋ²
黨,党,dɔŋ²
檔,档,dɔŋ³
當,当,dɔŋ³,當成，當日，當真，當鋪，上當，不當，妥當，恰當，適當，失當，勾當，當作，便當，停當，典當,合適，抵得上，認為，作為，圈套，事情發生的同一時間，典押，抵押
鐺,铛,dɔŋ¹
噹,当,dɔŋ¹
當,当,dɔŋ¹,當下，當中，當然，當心，當時，當代，當眾，當兵，當官，當家，當初，當地，當頭，當局，當選，當道，當面，應當，擔當，敢當，正當，相當，當老師，不敢當,擔任，執掌，承擔，面向，阻攔，應該，正在
襠,裆,dɔŋ¹
蕩,荡,dɔŋ⁶
盪,荡,dɔŋ⁶
宕,宕,dɔŋ⁶
碭,砀,dɔŋ⁶
菪,菪,dɔŋ⁶
馱,驮,dɔ⁶,馱子，一馱糧，一馱貨,（名詞、量詞）用於牲口載的貨
惰,惰,dɔ⁶
墮,堕,dɔ⁶
糴,籴,dɛk⁹
笛,笛,dɛk⁹
嗲,嗲,dɛ²
爹,爹,dɛ¹
酊,酊,dɪŋ²,酩酊，酩酊大醉,喝醉的樣子
鼎,鼎,dɪŋ²
薡,薡,dɪŋ²
頂,顶,dɪŋ²/dɛŋ²
碇,碇,dɪŋ³
訂,订,dɪŋ³/dɛŋ⁶
錠,锭,dɪŋ³/dɪŋ⁶
丁,丁,dɪŋ¹
仃,仃,dɪŋ¹
汀,汀,dɪŋ¹,"",（俗）
町,町,dɪŋ¹
玎,玎,dɪŋ¹
酊,酊,dɪŋ¹,酊劑，碘酊,一種藥劑
釘,钉,dɪŋ¹/dɛŋ¹
叮,叮,dɪŋ¹/dɛŋ¹
盯,盯,dɪŋ¹/dɛŋ¹
定,定,dɪŋ⁶
啶,啶,dɪŋ⁶
腚,腚,dɪŋ⁶
督,督,dʊk⁷
篤,笃,dʊk⁷
叾,叾,dʊk⁷
犢,犊,dʊk⁹
毒,毒,dʊk⁹
瀆,渎,dʊk⁹
黷,黩,dʊk⁹
牘,牍,dʊk⁹
獨,独,dʊk⁹
讀,读,dʊk⁹,讀書，閱讀,（動詞）看書
碡,碡,dʊk⁹
髑,髑,dʊk⁹
櫝,椟,dʊk⁹
懂,懂,dʊŋ²
董,董,dʊŋ²
蕫,蕫,dʊŋ²
凍,冻,dʊŋ³
棟,栋,dʊŋ³/dʊŋ⁶
冬,冬,dʊŋ¹
氡,氡,dʊŋ¹
東,东,dʊŋ¹
咚,咚,dʊŋ¹
鶇,鸫,dʊŋ¹
慟,恸,dʊŋ⁶
胴,胴,dʊŋ⁶
恫,恫,dʊŋ⁶
洞,洞,dʊŋ⁶
侗,侗,dʊŋ⁶
動,动,dʊŋ⁶
欸,欸,ei²,"",（語氣助詞）表示不以為然
欸,欸,ei¹,"",（語氣助詞）表示招呼
欸,欸,ei⁴,"",（語氣助詞）表示詫異
欸,欸,ei⁶,"",（語氣助詞）表示答應或同意
快,快,fai³
塊,块,fai³
傀,傀,fai³
筷,筷,fai³
噲,哙,fai³
反,反,fan²
返,返,fan²
犯,犯,fan²,戰犯，要犯，貪污犯,（名詞）犯罪的人
泛,泛,fan³,"","",氾，汎
販,贩,fan³/fan²
番,番,fan¹,一番，輪番，三番五次,（量詞）種，樣，回，次，遍；更替，替換
旛,旛,fan¹
幡,幡,fan¹
翻,翻,fan¹,"","",飜，繙
番,番,fan¹,番人，番邦，番茄，番薯，番石榴,未開化的；外國的，外族的,蕃
繁,繁,fan⁴
帆,帆,fan⁴
凡,凡,fan⁴
煩,烦,fan⁴
釩,钒,fan⁴
藩,藩,fan⁴
樊,樊,fan⁴
礬,矾,fan⁴
蕃,蕃,fan⁴,蕃茂，蕃昌,草木茂盛
璠,璠,fan⁴
瓣,瓣,fan⁶
飯,饭,fan⁶
範,范,fan⁶
犯,犯,fan⁶,犯錯，犯病，犯忌，犯不著,（動詞）
范,范,fan⁶
梵,梵,fan⁶/fan⁴
琺,珐,fat⁸
髮,发,fat⁸
法,法,fat⁸
發,发,fat⁸
化,化,fa³
花,花,fa¹
斐,斐,fei²
翡,翡,fei²
匪,匪,fei²
誹,诽,fei²
榧,榧,fei²
悱,悱,fei²
菲,菲,fei²,妄自菲薄,微薄
蜚,蜚,fei²,蜚蠊,蟑螂
非,非,fei¹
飛,飞,fei¹
妃,妃,fei¹
緋,绯,fei¹
鯡,鲱,fei¹
菲,菲,fei¹,菲菲，芳菲,花草茂盛
蜚,蜚,fei¹,蜚聲，流言蜚語,飛；不實，無根據
扉,扉,fei¹
霏,霏,fei¹
腓,腓,fei⁴
肥,肥,fei⁴
鮪,鲔,fui²
悔,悔,fui³
誨,诲,fui³
晦,晦,fui³
恢,恢,fui¹
魁,魁,fui¹
灰,灰,fui¹
詼,诙,fui¹
蝰,蝰,fui¹
悝,悝,fui¹
奎,奎,fui¹/kwɐi¹
款,款,fun²
髖,髋,fun¹
貛,獾,fun¹
寬,宽,fun¹
歡,欢,fun¹
闊,阔,fut⁸
唬,唬,fu²
腑,腑,fu²
撫,抚,fu²
釜,釜,fu²
拊,拊,fu²
琥,琥,fu²
俯,俯,fu²
甫,甫,fu²
斧,斧,fu²
府,府,fu²
虎,虎,fu²
苦,苦,fu²
富,富,fu³
賦,赋,fu³
庫,库,fu³
副,副,fu³
褲,裤,fu³
絝,绔,fu³
戽,戽,fu³
俘,俘,fu¹
枯,枯,fu¹
呼,呼,fu¹
麩,麸,fu¹
孵,孵,fu¹
膚,肤,fu¹
孚,孚,fu¹
敷,敷,fu¹
夫,夫,fu¹
骷,骷,fu¹
軤,轷,fu¹
刳,刳,fu¹
跗,跗,fu¹
伕,伕,fu¹
桴,桴,fu¹
莩,莩,fu¹
趺,趺,fu¹
芙,芙,fu⁴
乎,乎,fu⁴
扶,扶,fu⁴
符,符,fu⁴
苻,苻,fu⁴
婦,妇,fu⁵
腐,腐,fu⁶
仆,仆,fu⁶,前仆後繼,跌倒；以面伏地
赴,赴,fu⁶
負,负,fu⁶
附,附,fu⁶
輔,辅,fu⁶
父,父,fu⁶
訃,讣,fu⁶
咐,咐,fu⁶
付,付,fu⁶
傅,傅,fu⁶
鮒,鲋,fu⁶
駙,驸,fu⁶
痱,痱,fɐi²
沸,沸,fɐi³
廢,废,fɐi³
肺,肺,fɐi³
費,费,fɐi³
狒,狒,fɐi³
暉,晖,fɐi¹
揮,挥,fɐi¹
輝,辉,fɐi¹
徽,徽,fɐi¹
撝,撝,fɐi¹
煇,煇,fɐi¹
褘,袆,fɐi¹
隳,隳,fɐi¹
麾,麾,fɐi¹
翬,翚,fɐi¹
吠,吠,fɐi⁶
粉,粉,fɐn²
糞,粪,fɐn³
訓,训,fɐn³
婚,婚,fɐn¹
薰,薰,fɐn¹
氛,氛,fɐn¹
紛,纷,fɐn¹
分,分,fɐn¹,分開，分別，分數，分裂，分明，分離，分出，分散，分隔，分辨，分割，分成，分手，分擔，分支，分局，分會，分校，分貝，分配，分鐘，分隊，分頭，區分，滿分，劃分，零分，分工作，分公司，一百分，百分之一，分清是非，分一杯羹，不分青紅皁白,把整體變成幾個局部的個體；辨別，區別，離別；（量詞）長度、時間、成績、錢等的單位
熏,熏,fɐn¹
燻,熏,fɐn¹
醺,醺,fɐn¹
葷,荤,fɐn¹
昏,昏,fɐn¹
酚,酚,fɐn¹
芬,芬,fɐn¹
吩,吩,fɐn¹
勳,勋,fɐn¹,"","",勛
棻,棻,fɐn¹
墳,坟,fɐn⁴
焚,焚,fɐn⁴
汾,汾,fɐn⁴
棼,棼,fɐn⁴
憤,愤,fɐn⁵
奮,奋,fɐn⁵
忿,忿,fɐn⁵
份,份,fɐn⁶
分,分,fɐn⁶,分量，部分，成分，身分，過分，本分，名分，緣分，情分，糖分，養分,整體中的局部,份
拂,拂,fɐt⁷
惚,惚,fɐt⁷
囫,囫,fɐt⁷
弗,弗,fɐt⁷
忽,忽,fɐt⁷
窟,窟,fɐt⁷
氟,氟,fɐt⁷
笏,笏,fɐt⁷
彿,佛,fɐt⁷
欻,欻,fɐt⁷,欻忽，風雨欻至,忽然，突然
伐,伐,fɐt⁹
筏,筏,fɐt⁹
佛,佛,fɐt⁹
閥,阀,fɐt⁹
乏,乏,fɐt⁹
罰,罚,fɐt⁹
否,否,fɐu²,否認，否定，否決，否則，是否，可否，與否,不然，反對，不同意
剖,剖,fɐu²/pɐu²
浮,浮,fɐu⁴
涪,涪,fɐu⁴
蜉,蜉,fɐu⁴
阜,阜,fɐu⁶
攫,攫,fɔk⁸
霍,霍,fɔk⁸
藿,藿,fɔk⁸
矍,矍,fɔk⁸
玃,玃,fɔk⁸
伙,伙,fɔ²
火,火,fɔ²
顆,颗,fɔ²
夥,伙,fɔ²
課,课,fɔ³
貨,货,fɔ³
科,科,fɔ¹
蝌,蝌,fɔ¹
髁,髁,fɔ¹
恍,恍,fɔŋ²
幌,幌,fɔŋ²
紡,纺,fɔŋ²
訪,访,fɔŋ²
彷,仿,fɔŋ²,彷彿,好像，似乎
晃,晃,fɔŋ²
仿,仿,fɔŋ²,"","",倣
舫,舫,fɔŋ²
昉,昉,fɔŋ²
況,况,fɔŋ³
放,放,fɔŋ³
方,方,fɔŋ¹
荒,荒,fɔŋ¹
芳,芳,fɔŋ¹
慌,慌,fɔŋ¹
坊,坊,fɔŋ¹
肪,肪,fɔŋ¹
邡,邡,fɔŋ¹
肓,肓,fɔŋ¹
謊,谎,fɔŋ¹/fɔŋ²
妨,妨,fɔŋ⁴
房,房,fɔŋ⁴
防,防,fɔŋ⁴
啡,啡,fɛ¹
複,复,fʊk⁷
輻,辐,fʊk⁷
覆,覆,fʊk⁷
福,福,fʊk⁷
幅,幅,fʊk⁷
馥,馥,fʊk⁷
蝮,蝮,fʊk⁷
蝠,蝠,fʊk⁷
腹,腹,fʊk⁷
伏,伏,fʊk⁹
袱,袱,fʊk⁹
復,复,fʊk⁹
服,服,fʊk⁹
茯,茯,fʊk⁹
宓,宓,fʊk⁹,"",（姓）
諷,讽,fʊŋ³
豐,丰,fʊŋ¹
瘋,疯,fʊŋ¹
風,风,fʊŋ¹
烽,烽,fʊŋ¹
丰,丰,fʊŋ¹
楓,枫,fʊŋ¹
峰,峰,fʊŋ¹,"","",峯
鋒,锋,fʊŋ¹
蜂,蜂,fʊŋ¹
封,封,fʊŋ¹
犎,犎,fʊŋ¹
酆,酆,fʊŋ¹
灃,沣,fʊŋ¹
逢,逢,fʊŋ⁴
馮,冯,fʊŋ⁴
