繁體,簡體,拼音,詞例,定義,又作
筠,筠,kwɐn˥,"",（地名）
君,君,kwɐn˥
鈞,钧,kwɐn˥
軍,军,kwɐn˥
均,均,kwɐn˥
綸,纶,kwɐn˥,綸巾,青絲帶
鋆,鋆,kwɐn˥,"",（人名用字）
錕,锟,kwɐn˥
鯤,鲲,kwɐn˥
莙,莙,kwɐn˥
龜,龟,kwɐn˥,龜裂,皮膚音寒冷乾燥而開裂
皸,皲,kwɐn˥
棍,棍,kwɐn˧
滾,滚,kwɐn˧˥
鯀,鲧,kwɐn˧˥
磙,磙,kwɐn˧˥
郡,郡,kwɐn˨
珺,珺,kwɐn˨
橘,橘,kwɐt˥,"","",桔
骨,骨,kwɐt˥
汩,汩,kwɐt˥
倔,倔,kwɐt˨
掘,掘,kwɐt˨
崛,崛,kwɐt˨
薨,薨,kwɐŋ˥
肱,肱,kwɐŋ˥
訇,訇,kwɐŋ˥
轟,轰,kwɐŋ˥
郭,郭,kwɔːk˧
膕,腘,kwɔːk˧
國,国,kwɔːk˧
幗,帼,kwɔːk˧
槨,椁,kwɔːk˧
蟈,蝈,kwɔːk˧
廓,廓,kwɔːk˧/kʰwɔːk˧
胱,胱,kwɔːŋ˥
光,光,kwɔːŋ˥
桄,桄,kwɔːŋ˥,桄榔,一種常綠喬木
桄,桄,kwɔːŋ˧,桄子，線桄兒,指桄子，一種繞線器具
獷,犷,kwɔːŋ˧˥
廣,广,kwɔːŋ˧˥
誑,诳,kwɔːŋ˧˥
戈,戈,kwɔː˥
過,过,kwɔː˧
裹,裹,kwɔː˧˥
果,果,kwɔː˧˥,"","",菓
虢,虢,kwɪk˥
炯,炯,kwɪŋ˧˥
迥,迥,kwɪŋ˧˥
炅,炅,kwɪŋ˧˥,"",日光，光明，明亮，熱
囧,囧,kwɪŋ˧˥
捐,捐,kyːn˥
鵑,鹃,kyːn˥
娟,娟,kyːn˥
涓,涓,kyːn˥
蠲,蠲,kyːn˥
絹,绢,kyːn˧
券,券,kyːn˧,獎券，贈券,（俗）
眷,眷,kyːn˧
鄄,鄄,kyːn˧
卷,卷,kyːn˧˥
捲,卷,kyːn˧˥
倦,倦,kyːn˨
圈,圈,kyːn˨,豬圈，羊圈，牛圈,養豬羊等牲畜的柵欄
腳,脚,kœːk˧
僵,僵,kœːŋ˥
羌,羌,kœːŋ˥
殭,僵,kœːŋ˥
蜣,蜣,kœːŋ˥
薑,姜,kœːŋ˥
韁,缰,kœːŋ˥
疆,疆,kœːŋ˥
姜,姜,kœːŋ˥
強,强,kœːŋ˨,強嘴，倔強,執拗，固執，不屈服，不聽勸，強硬不屈,犟
糨,糨,kœːŋ˨
鋸,锯,kœː˧/kɵy˧
雞,鸡,kɐi˥,"","",鷄
笄,笄,kɐi˥
計,计,kɐi˧
髻,髻,kɐi˧
薊,蓟,kɐi˧
繼,继,kɐi˧
炔,炔,kɐi˧,"",（姓）
偈,偈,kɐi˨,偈語，偈子，偈頌，佛偈,佛經中的唱詞
金,金,kɐm˥
柑,柑,kɐm˥
今,今,kɐm˥
甘,甘,kɐm˥
苷,苷,kɐm˥
禁,禁,kɐm˥,不禁，禁不起，情不自禁,承受，忍住，忍耐
泔,泔,kɐm˥
禁,禁,kɐm˧,禁止，禁忌，嚴禁,不准，不許
贛,赣,kɐm˧
淦,淦,kɐm˧
噤,噤,kɐm˧
感,感,kɐm˧˥
敢,敢,kɐm˧˥
橄,橄,kɐm˧˥
錦,锦,kɐm˧˥
筋,筋,kɐn˥,"","",觔
跟,跟,kɐn˥
根,根,kɐn˥
巾,巾,kɐn˥
斤,斤,kɐn˥
哏,哏,kɐn˥
靳,靳,kɐn˧
艮,艮,kɐn˧
緊,紧,kɐn˧˥
堇,堇,kɐn˧˥
謹,谨,kɐn˧˥
僅,仅,kɐn˧˥
饉,馑,kɐn˧˥
瑾,瑾,kɐn˧˥
殣,殣,kɐn˧˥/kɐn˨
近,近,kɐn˨
覲,觐,kɐn˨/kɐn˧˥/kɐn˧
急,急,kɐp˥
鴿,鸽,kɐp˧
蛤,蛤,kɐp˧,蛤蜊，蛤蚧
蓋,盖,kɐp˧,"",（姓）
吉,吉,kɐt˥
訖,讫,kɐt˥
紇,纥,kɐt˥,紇繨,紗線、織物等打成的結
桔,桔,kɐt˥
佶,佶,kɐt˥,佶倬,健壯
嘎,嘎,kɐt˧
疙,疙,kɐt˨
龜,龟,kɐu˥,龜茲,（古）國名
鬮,阄,kɐu˥/kʰɐu˥
鳩,鸠,kɐu˥/kʰɐu˥
篝,篝,kɐu˥/kʰɐu˥
灸,灸,kɐu˧
夠,够,kɐu˧
咎,咎,kɐu˧
柩,柩,kɐu˧
究,究,kɐu˧
疚,疚,kɐu˧
救,救,kɐu˧
詬,诟,kɐu˧
垢,垢,kɐu˧
廄,厩,kɐu˧
彀,彀,kɐu˧
韭,韭,kɐu˧˥
枸,枸,kɐu˧˥,枸杞
苟,苟,kɐu˧˥
狗,狗,kɐu˧˥
久,久,kɐu˧˥
九,九,kɐu˧˥
玖,玖,kɐu˧˥
糾,纠,kɐu˧˥/tɐu˧˥
舊,旧,kɐu˨
庚,庚,kɐŋ˥
更,更,kɐŋ˥,更改，更換，更衣，更動，更新，更正，變更，打更，更迭，更生，更定,改變；經歷；一夜的五分之一的時間
羹,羹,kɐŋ˥
粳,粳,kɐŋ˥
賡,赓,kɐŋ˥
鶊,鹒,kɐŋ˥
更,更,kɐŋ˧,更好，更加，更快，更多，更上一層樓,再，又，越發
梗,梗,kɐŋ˧˥
耿,耿,kɐŋ˧˥
亙,亘,kɐŋ˧˥
埂,埂,kɐŋ˧˥
哽,哽,kɐŋ˧˥
綆,绠,kɐŋ˧˥
鯁,鲠,kɐŋ˧˥/kʰɐŋ˧˥
該,该,kɔːi˥
賅,赅,kɔːi˥
荄,荄,kɔːi˥
垓,垓,kɔːi˥
蓋,盖,kɔːi˧,蓋子，鋪蓋，瓶蓋，膝蓋，鍋蓋，杯蓋,（名詞）
改,改,kɔːi˧˥
咯,咯,kɔːk˥,咯噔，咯吱，咯咯，咯咯笑,（象聲詞）形容笑聲
各,各,kɔːk˧
角,角,kɔːk˧
擱,搁,kɔːk˧
閣,阁,kɔːk˧
覺,觉,kɔːk˧,覺得，感覺,（動詞）指感想、發覺
桷,桷,kɔːk˧
珏,珏,kɔːk˧
袼,袼,kɔːk˧
硌,硌,kɔːk˧/kʰaːk˧,硌腳，硌牙,（動詞）碰到堅硬的東西而覺得不舒服
乾,干,kɔːn˥,乾淨，擦乾
杆,杆,kɔːn˥
肝,肝,kɔːn˥
竿,竿,kɔːn˥
干,干,kɔːn˥,干涉，干擾，干係
酐,酐,kɔːn˥
幹,干,kɔːn˧,幹部，樹幹
擀,擀,kɔːn˧˥
趕,赶,kɔːn˧˥
桿,杆,kɔːn˧˥
稈,秆,kɔːn˧˥
割,割,kɔːt˧
葛,葛,kɔːt˧
缸,缸,kɔːŋ˥
罡,罡,kɔːŋ˥
肛,肛,kɔːŋ˥
江,江,kɔːŋ˥
綱,纲,kɔːŋ˥
岡,冈,kɔːŋ˥
崗,岗,kɔːŋ˥
剛,刚,kɔːŋ˥
茳,茳,kɔːŋ˥
豇,豇,kɔːŋ˥
絳,绛,kɔːŋ˧
鋼,钢,kɔːŋ˧
降,降,kɔːŋ˧,降落，降價，下降
槓,杠,kɔːŋ˧
講,讲,kɔːŋ˧˥
港,港,kɔːŋ˧˥
仡,仡,kɔː˥
哥,哥,kɔː˥
歌,歌,kɔː˥
菏,菏,kɔː˥/hɔː˨˩
旮,旮,kɔː˥/kɔːk˧
個,个,kɔː˧
舸,舸,kɔː˧˥/hɔː˧˥
驚,惊,kɛːŋ˥,"",（語音）
麖,麖,kɛːŋ˥/kɪŋ˥
鏡,镜,kɛːŋ˧
頸,颈,kɛːŋ˧˥
棘,棘,kɪk˥
激,激,kɪk˥
擊,击,kɪk˥
戟,戟,kɪk˥
亟,亟,kɪk˥
殛,殛,kɪk˥
革,革,kɪk˥,病革,急，危急
極,极,kɪk˨
驚,惊,kɪŋ˥
荊,荆,kɪŋ˥
兢,兢,kɪŋ˥
涇,泾,kɪŋ˥
經,经,kɪŋ˥
矜,矜,kɪŋ˥
京,京,kɪŋ˥
徑,径,kɪŋ˧
敬,敬,kɪŋ˧
勁,劲,kɪŋ˧,使勁，差勁，費勁，不對勁,力氣，效力，興趣
逕,径,kɪŋ˧,"","",迳
莖,茎,kɪŋ˧/hɐŋ˨˩/hɐŋ˥
景,景,kɪŋ˧˥
境,境,kɪŋ˧˥
警,警,kɪŋ˧˥
竟,竟,kɪŋ˧˥
儆,儆,kɪŋ˧˥
憬,憬,kɪŋ˧˥
璟,璟,kɪŋ˧˥
競,竞,kɪŋ˨
勁,劲,kɪŋ˨,勁敵，強勁,堅強有力
痙,痉,kɪŋ˨
居,居,kɵy˥
据,据,kɵy˥
車,车,kɵy˥,車馬炮，丟卒保車,象棋棋子的一種
車,车,kɵy˥,車騎，車駕，車笠，車僕，車馬，車服，車徒，車轍，車師，車右，輔車，車同軌，車在馬前，車怠馬煩，車殆馬煩，車水馬龍，車笠之盟，車載斗量，車馬喧闐，車馬殷闐，車騎將軍，前車之鑑，輔車相依，輔車脣齒，輕車熟路，杯水車薪，學富五車，安步當車，老牛破車，螳臂當車，閉門造車,（用於古漢語）
琚,琚,kɵy˥
裾,裾,kɵy˥
踞,踞,kɵy˧
據,据,kɵy˧
句,句,kɵy˧
舉,举,kɵy˧˥
矩,矩,kɵy˧˥
櫸,榉,kɵy˧˥
蒟,蒟,kɵy˧˥
齲,龋,kɵy˧˥
莒,莒,kɵy˧˥
枸,枸,kɵy˧˥,枸櫞,一種植物
詎,讵,kɵy˨
懼,惧,kɵy˨
炬,炬,kɵy˨
鉅,巨,kɵy˨
遽,遽,kɵy˨
巨,巨,kɵy˨
具,具,kɵy˨
颶,飓,kɵy˨
苣,苣,kɵy˨
秬,秬,kɵy˨
谷,谷,kʊk˥
鵠,鹄,kʊk˥
轂,毂,kʊk˥
穀,谷,kʊk˥
掬,掬,kʊk˥
鞠,鞠,kʊk˥
梏,梏,kʊk˥
嚳,嚳,kʊk˥
菊,菊,kʊk˥
局,局,kʊk˨
焗,焗,kʊk˨
鋦,锔,kʊk˨
蚣,蚣,kʊŋ˥
恭,恭,kʊŋ˥
供,供,kʊŋ˥,供給，供應，供水，供電，供詞，提供，口供，招供，自供，逼供，錄供,把東西給需要的人使用；向別人提供某種條件；受審的人交代案情
弓,弓,kʊŋ˥
龔,龚,kʊŋ˥
躬,躬,kʊŋ˥
宮,宫,kʊŋ˥
功,功,kʊŋ˥
工,工,kʊŋ˥
攻,攻,kʊŋ˥
公,公,kʊŋ˥
紅,红,kʊŋ˥/hʊŋ˨˩,女紅,（舊）指女子所做的紡織、縫紉、刺繡等工作
貢,贡,kʊŋ˧
供,供,kʊŋ˧,供奉，供品，供桌，供佛，供職，供事，上供，擺供,把香燭或祭品設在牌位等處以表示敬奉；從事，擔任
鞏,巩,kʊŋ˧˥
拱,拱,kʊŋ˧˥
珙,珙,kʊŋ˧˥
栱,栱,kʊŋ˧˥
共,共,kʊŋ˨
楷,楷,kʰaːi˧˥
蒈,蒈,kʰaːi˧˥
鍇,锴,kʰaːi˧˥/kaːi˥
揢,揢,kʰaːk˧
咯,咯,kʰaːk˧,咯血，咯痰,嘔，吐
卡,卡,kʰaːt˥,卡片，刷卡，磁卡，信用卡，借書卡，資料卡,卡片的簡稱
銬,铐,kʰaːu˧
靠,靠,kʰaːu˧
喀,喀,kʰaː˥
卡,卡,kʰaː˥,卡車，卡通，卡規，卡尺，大卡，卡路里，卡賓槍,（音譯用字）
拤,拤,kʰaː˥
髂,髂,kʰaː˧
卡,卡,kʰaː˧˥/kʰaː˥,卡住，卡緊，卡子，關卡，髮卡，稅卡,夾在中間不能活動；夾子
崎,崎,kʰei˥
暨,暨,kʰei˧
冀,冀,kʰei˧
驥,骥,kʰei˧
騎,骑,kʰei˧,騎士，騎兵，騎哨，輕騎，鐵騎，坐騎，車騎，騎從，騎手，單騎，邊騎，探騎，突騎，胡騎，驍騎，梟騎，驃騎，精騎，騎置，驛騎，一騎，千騎,指馬兵，騎兵，或騎馬的人
耆,耆,kʰei˨˩
鰭,鳍,kʰei˨˩
俟,俟,kʰei˨˩,万俟,（姓）
旗,旗,kʰei˨˩
奇,奇,kʰei˨˩,奇怪，奇蹟，奇兵，稀奇，驚奇，不足為奇,特別，怪異，罕見，特殊，不尋常
岐,岐,kʰei˨˩
棋,棋,kʰei˨˩
琪,琪,kʰei˨˩
旂,旂,kʰei˨˩
琦,琦,kʰei˨˩
歧,歧,kʰei˨˩
淇,淇,kʰei˨˩
祈,祈,kʰei˨˩
其,其,kʰei˨˩
萁,萁,kʰei˨˩
麒,麒,kʰei˨˩
期,期,kʰei˨˩,期間，期限，期待，期望，期刊，期末，期滿，時期，到期，長期，假期，定期，星期，如期，過期，學期，週期，初期，不期而遇，遙遙無期,限定的時間
祺,祺,kʰei˨˩
祁,祁,kʰei˨˩
蘄,蕲,kʰei˨˩
祇,祇,kʰei˨˩,神祇,（古）地神,祗
錡,锜,kʰei˨˩
圻,圻,kʰei˨˩,"",邊界，地界；方圓千里之地
䓫,䓫,kʰei˨˩
企,企,kʰei˩˧
黔,黔,kʰiːm˨˩
鉗,钳,kʰiːm˨˩
虔,虔,kʰiːn˨˩
掮,掮,kʰiːn˨˩
乾,乾,kʰiːn˨˩,乾坤，乾宅,八卦之一
犍,犍,kʰiːn˨˩,犍為縣,（地名）
黠,黠,kʰiːt˧
孑,孑,kʰiːt˧
揭,揭,kʰiːt˧
詰,诘,kʰiːt˧
羯,羯,kʰiːt˧
竭,竭,kʰiːt˧
鍥,锲,kʰiːt˧
頡,颉,kʰiːt˧
碣,碣,kʰiːt˧
劼,劼,kʰiːt˧
挈,挈,kʰiːt˧
訐,讦,kʰiːt˧
擷,撷,kʰiːt˧/kiːt˧
蹺,跷,kʰiːu˥/hiːu˥,蹺著腳，蹺蹺板,墊起腳後跟走
蹺,跷,kʰiːu˧,高蹺，踩高蹺
翹,翘,kʰiːu˧/hiːu˧,翹尾巴，翹起來,一端向上揚起，突起，高起
蹺,跷,kʰiːu˧˥,蹊蹺
藠,藠,kʰiːu˧˥/kʰiːu˩˧
僑,侨,kʰiːu˨˩
橋,桥,kʰiːu˨˩
翹,翘,kʰiːu˨˩,翹首，翹望,舉起，抬起，向上
蕎,荞,kʰiːu˨˩
喬,乔,kʰiːu˨˩
蹺,跷,kʰiːu˩˧,蹺腿，蹺大拇指,抬起，豎起
劊,刽,kʰuːi˧˥
賄,贿,kʰuːi˧˥
潰,溃,kʰuːi˧˥
獪,狯,kʰuːi˧˥
聵,聩,kʰuːi˧˥
繪,绘,kʰuːi˧˥
膾,脍,kʰuːi˧˥
鱠,鲙,kʰuːi˧˥
儈,侩,kʰuːi˧˥
檜,桧,kʰuːi˧˥
澮,浍,kʰuːi˧˥
鄶,郐,kʰuːi˧˥
豁,豁,kʰuːt˧
聒,聒,kʰuːt˧
蛞,蛞,kʰuːt˧
括,括,kʰuːt˧
㺢,㺢,kʰuːt˧
箍,箍,kʰuː˥
框,框,kʰwaːŋ˥/hɔːŋ˥
逛,逛,kʰwaːŋ˧
垮,垮,kʰwaː˥
夸,夸,kʰwaː˥
誇,夸,kʰwaː˥
胯,胯,kʰwaː˧
跨,跨,kʰwaː˧
挎,挎,kʰwaː˧
侉,侉,kʰwaː˧˥
虧,亏,kʰwɐi˥
窺,窥,kʰwɐi˥
盔,盔,kʰwɐi˥
規,规,kʰwɐi˥
巋,岿,kʰwɐi˥
畦,畦,kʰwɐi˨˩
攜,携,kʰwɐi˨˩
睽,睽,kʰwɐi˨˩
馗,馗,kʰwɐi˨˩
喹,喹,kʰwɐi˨˩
暌,暌,kʰwɐi˨˩
夔,夔,kʰwɐi˨˩
葵,葵,kʰwɐi˨˩
逵,逵,kʰwɐi˨˩
揆,揆,kʰwɐi˨˩/kʰwɐi˩˧
愧,愧,kʰwɐi˩˧
坤,坤,kʰwɐn˥,"","",堃
昆,昆,kʰwɐn˥
崑,昆,kʰwɐn˥
髡,髡,kʰwɐn˥
晜,晜,kʰwɐn˥
焜,焜,kʰwɐn˥/wɐn˨
困,困,kʰwɐn˧
窘,窘,kʰwɐn˧
睏,困,kʰwɐn˧
菌,菌,kʰwɐn˧˥
捆,捆,kʰwɐn˧˥,"","",綑
麕,麕,kʰwɐn˧˥
群,群,kʰwɐn˨˩,"","",羣
裙,裙,kʰwɐn˨˩
擴,扩,kʰwɔːk˧,擴散，擴大
漷,漷,kʰwɔːk˧/kwɔːk˧
曠,旷,kʰwɔːŋ˧
纊,纩,kʰwɔːŋ˧
礦,矿,kʰwɔːŋ˧
壙,圹,kʰwɔːŋ˧
鄺,邝,kʰwɔːŋ˧/kʰɔːŋ˧
狂,狂,kʰwɔːŋ˨˩
隙,隙,kʰwɪk˥/kwɪk˥
蜷,蜷,kʰyːn˨˩
顴,颧,kʰyːn˨˩
拳,拳,kʰyːn˨˩
權,权,kʰyːn˨˩
鬈,鬈,kʰyːn˨˩
獗,獗,kʰyːt˧
決,决,kʰyːt˧
訣,诀,kʰyːt˧
缺,缺,kʰyːt˧
抉,抉,kʰyːt˧
蹶,蹶,kʰyːt˧
厥,厥,kʰyːt˧
孓,孓,kʰyːt˧
蕨,蕨,kʰyːt˧
撅,撅,kʰyːt˧,"","",噘
闕,阙,kʰyːt˧
玦,玦,kʰyːt˧
闋,阕,kʰyːt˧
炔,炔,kʰyːt˧,炔烴，乙炔
橛,橛,kʰyːt˧/kyːt˨
卻,却,kʰœːk˧
噱,噱,kʰœːk˨
強,强,kʰœːŋ˨˩,強壯，強大，堅強,有力
強,强,kʰœːŋ˩˧,強迫，強求，勉強，牽強，強詞奪理，強人所難，牽強附會,硬要，迫使，勉強
羥,羟,kʰœːŋ˩˧
襁,襁,kʰœːŋ˩˧
稽,稽,kʰɐi˥,稽查，稽留，稽延，稽核，滑稽，無稽之談，反脣相稽,停留，延遲，考核，計較
溪,溪,kʰɐi˥
蹊,蹊,kʰɐi˥,蹊蹺，蹺蹊,奇怪，可疑
嵇,嵇,kʰɐi˥/hɐi˨˩
契,契,kʰɐi˧
啟,启,kʰɐi˧˥,"","",啓
稽,稽,kʰɐi˧˥,稽首,（古）一種類似磕頭的跪拜禮
襟,襟,kʰɐm˥
衾,衾,kʰɐm˥
噙,噙,kʰɐm˨˩
禽,禽,kʰɐm˨˩
擒,擒,kʰɐm˨˩
琴,琴,kʰɐm˨˩,"","",琹
妗,妗,kʰɐm˩˧
勤,勤,kʰɐn˨˩
芹,芹,kʰɐn˨˩
近,近,kʰɐn˩˧,"",（口語）
岌,岌,kʰɐp˥
給,给,kʰɐp˥
吸,吸,kʰɐp˥
汲,汲,kʰɐp˥
笈,笈,kʰɐp˥
級,级,kʰɐp˥
歙,歙,kʰɐp˥,"",收斂，吸氣
及,及,kʰɐp˨
芨,芨,kʰɐp˨/kɐp˥
咳,咳,kʰɐt˥,咳嗽，乾咳
摳,抠,kʰɐu˥
溝,沟,kʰɐu˥/kɐu˥
叩,叩,kʰɐu˧
扣,扣,kʰɐu˧
寇,寇,kʰɐu˧
釦,扣,kʰɐu˧
蔻,蔻,kʰɐu˧
構,构,kʰɐu˧/kɐu˧
媾,媾,kʰɐu˧/kɐu˧
購,购,kʰɐu˧/kɐu˧
佝,佝,kʰɐu˧/kʰɵy˥
裘,裘,kʰɐu˨˩
毬,毬,kʰɐu˨˩
球,球,kʰɐu˨˩
求,求,kʰɐu˨˩
仇,仇,kʰɐu˨˩,"",（姓）
虯,虬,kʰɐu˨˩
犰,犰,kʰɐu˨˩
逑,逑,kʰɐu˨˩
璆,璆,kʰɐu˨˩
俅,俅,kʰɐu˨˩
銶,𨱇,kʰɐu˨˩
舅,舅,kʰɐu˩˧
臼,臼,kʰɐu˩˧
丐,丐,kʰɔːi˧
溉,溉,kʰɔːi˧
鈣,钙,kʰɔːi˧
慨,慨,kʰɔːi˧
蓋,盖,kʰɔːi˧,蓋上，蓋好，蓋世，蓋章，覆蓋，遮蓋，涵蓋，蓋被子，蓋房子，蓋不住,（動詞）
概,概,kʰɔːi˧
愾,忾,kʰɔːi˧
欬,欬,kʰɔːi˧
確,确,kʰɔːk˧
榷,榷,kʰɔːk˧
郝,郝,kʰɔːk˧
恪,恪,kʰɔːk˧
慤,悫,kʰɔːk˧
壑,壑,kʰɔːk˧
涸,涸,kʰɔːk˧
扛,扛,kʰɔːŋ˥
亢,亢,kʰɔːŋ˧
抗,抗,kʰɔːŋ˧
伉,伉,kʰɔːŋ˧
擴,扩,kʰɔːŋ˧,擴散，擴大,（俗）
炕,炕,kʰɔːŋ˧
閌,闶,kʰɔːŋ˧
鵟,𫛭,kʰɔːŋ˨˩
屐,屐,kʰɛːk˨
劇,剧,kʰɛːk˨
茄,茄,kʰɛː˧˥,茄子，番茄,一種蔬菜
騎,骑,kʰɛː˨˩,騎馬，騎車，騎牆,指騎馬，也泛指兩腿跨在東西上
瘸,瘸,kʰɛː˨˩
伽,伽,kʰɛː˨˩,伽藍，伽陀，僧伽，伽南香,（梵文音譯用字）
傾,倾,kʰɪŋ˥
頃,顷,kʰɪŋ˧˥
瓊,琼,kʰɪŋ˨˩
擎,擎,kʰɪŋ˨˩
鯨,鲸,kʰɪŋ˨˩
黥,黥,kʰɪŋ˨˩
勍,勍,kʰɪŋ˨˩
區,区,kʰɵy˥,"",區域，地區
拘,拘,kʰɵy˥
驅,驱,kʰɵy˥
俱,俱,kʰɵy˥
軀,躯,kʰɵy˥
嶇,岖,kʰɵy˥
祛,祛,kʰɵy˥
駒,驹,kʰɵy˥
胠,胠,kʰɵy˥
袪,袪,kʰɵy˥
璩,璩,kʰɵy˨˩
蠼,蠼,kʰɵy˨˩,"","",蠷
瞿,瞿,kʰɵy˨˩
渠,渠,kʰɵy˨˩
衢,衢,kʰɵy˨˩
朐,朐,kʰɵy˨˩
劬,劬,kʰɵy˨˩
距,距,kʰɵy˩˧
拒,拒,kʰɵy˩˧
曲,曲,kʰʊk˥
麴,曲,kʰʊk˥
窮,穷,kʰʊŋ˨˩
穹,穹,kʰʊŋ˨˩
邛,邛,kʰʊŋ˨˩
拉,拉,laːi˥,拉車，拉扯，拉長，拉開，拉攏，拉鋸，拉貨，拉倒，拉拔，拉屎，拖拉，拉關係，拉生意，拉交情，拉買賣，拉警報，拉肚子，拉胡琴，拉二胡，拉下水，手拉手，拉手風琴，拉小提琴,拖，扯，拔，拽，牽引
癩,癞,laːi˧
賴,赖,laːi˨
籟,籁,laːi˨
落,落,laːi˨,落下，丟三落四,丟下，遺漏，忘了拿，被丟在後面
勒,勒,laːk˨/lɐk˨
肋,肋,laːk˨/lɐk˨
纜,缆,laːm˨
濫,滥,laːm˨
艦,舰,laːm˨
籃,篮,laːm˨˩
襤,褴,laːm˨˩
婪,婪,laːm˨˩
藍,蓝,laːm˨˩
嵐,岚,laːm˨˩
覽,览,laːm˩˧
攬,揽,laːm˩˧
欖,榄,laːm˩˧
爛,烂,laːn˨
蘭,兰,laːn˨˩
襴,襕,laːn˨˩
斕,斓,laːn˨˩
欄,栏,laːn˨˩
攔,拦,laːn˨˩
闌,阑,laːn˨˩
瀾,澜,laːn˨˩
懶,懒,laːn˩˧
立,立,laːp˨
蠟,蜡,laːp˨
垃,垃,laːp˨
臘,腊,laːp˨
砬,砬,laːp˨
鱲,𫚭,laːp˨
邋,邋,laːp˨/laːt˨
辣,辣,laːt˨
拉,拉,laːt˨,拉開，拉下，拉口子，拉下一塊肉，拉了一個口子,用刀割，切開，割開，切斷，劃破
剌,剌,laːt˨
蝲,蝲,laːt˨
撈,捞,laːu˨˩,撈魚，撈取，撈起，撈麵，打撈，捕撈，撈魚蝦，撈稻草，水中撈月，海底撈針,將東西從水中取出來
冷,冷,laːŋ˩˧
啦,啦,laː˥
喇,喇,laː˥,喇嘛,藏傳佛教的僧侶
拉,拉,laː˥,拉話，拉閒，拉家常，拉呱兒，拉舌頭,閒談
喇,喇,laː˧,喇叭,一種管樂器
罅,罅,laː˧
璃,璃,lei˥,玻璃
喱,喱,lei˥
利,利,lei˨
吏,吏,lei˨
莉,莉,lei˨
蒞,莅,lei˨
俐,俐,lei˨
痢,痢,lei˨
猁,猁,lei˨
詈,詈,lei˨
縭,缡,lei˨˩
璃,璃,lei˨˩,琉璃
罹,罹,lei˨˩
狸,狸,lei˨˩,"","",貍
梨,梨,lei˨˩
蜊,蜊,lei˨˩
漓,漓,lei˨˩
鱺,鲡,lei˨˩
離,离,lei˨˩
釐,厘,lei˨˩
籬,篱,lei˨˩
驪,骊,lei˨˩
瓈,瓈,lei˨˩
琍,琍,lei˨˩
鸝,鹂,lei˨˩
俚,俚,lei˩˧
履,履,lei˩˧
李,李,lei˩˧
里,里,lei˩˧
鯉,鲤,lei˩˧
鋰,锂,lei˩˧
邐,逦,lei˩˧
理,理,lei˩˧
娌,娌,lei˩˧
哩,哩,lei˩˧,"",英美制長度單位
令,令,liːm˥,一令紙,（量詞）
斂,敛,liːm˨
襝,裣,liːm˨,"","",斂
瀲,潋,liːm˨
簾,帘,liːm˨˩
帘,帘,liːm˨˩
鐮,镰,liːm˨˩
廉,廉,liːm˨˩
蠊,蠊,liːm˨˩
燫,燫,liːm˨˩
臉,脸,liːm˩˧
殮,殓,liːm˩˧
蘞,蔹,liːm˩˧
煉,炼,liːn˨,"","",鍊
練,练,liːn˨
鏈,链,liːn˨˩
連,连,liːn˨˩
蓮,莲,liːn˨˩
漣,涟,liːn˨˩
憐,怜,liːn˨˩
鰱,鲢,liːn˨˩
輦,辇,liːn˩˧
攆,撵,liːn˩˧
獵,猎,liːp˨
鬣,鬣,liːp˨
裂,裂,liːt˨
烈,烈,liːt˨
列,列,liːt˨
捩,捩,liːt˨
冽,冽,liːt˨
鴷,䴕,liːt˨
撩,撩,liːu˥,撩開，撩起，撩水，撩起來，撩裙子，撩起門簾，撩上點水,提，掀起；用手灑水
溜,溜,liːu˥,溜走，溜開，偷溜，溜課，溜工，溜掉，開溜，溜回家，溜之大吉,偷偷地走開
撂,撂,liːu˥
料,料,liːu˨
廖,廖,liːu˨
尥,尥,liːu˨
釕,钌,liːu˨,"",金屬元素，符號Ru
嘹,嘹,liːu˨˩
繚,缭,liːu˨˩
遼,辽,liːu˨˩
僚,僚,liːu˨˩
鐐,镣,liːu˨˩
獠,獠,liːu˨˩
寮,寮,liːu˨˩
瞭,了,liːu˨˩,明瞭，瞭如指掌,明白，清楚
瞭,瞭,liːu˨˩,瞭望，瞭望台,遠遠地望，從高處遠望
燎,燎,liːu˨˩
撩,撩,liːu˨˩,撩撥，撩惹，撩人，撩逗，撩動，花香撩人,挑弄，招惹，引逗，挑逗
療,疗,liːu˨˩
聊,聊,liːu˨˩
寥,寥,liːu˨˩
瞭,了,liːu˩˧,瞭解，一目瞭然
釕,钌,liːu˩˧,釕銱兒,扣住門窗等的鐵片
蓼,蓼,liːu˩˧,"",一種植物
了,了,liːu˩˧,了得，了斷，了結，了賬，了卻，走了，終了，未了，聰了，了了，了不起，了不得，看完了，說過了，做好了，辦得了，做得了，受不了，動不了，來不了，了卻心願，了無新意，了無生趣，一了百了，不了了之，沒完沒了,結束，完全，全然；（動詞後）可能；（語助詞）表示動作已完成
潦,潦,liːu˩˧/liːu˧˥
哩,哩,liː˥,哩哩啦啦,零零散散或斷斷續續的樣子
撈,捞,lou˥,撈錢，撈本，撈一把，撈油水，撈外快，撈資本，撈了一筆,用不正當的手段取得
嚕,噜,lou˥
佬,佬,lou˧˥
露,露,lou˨
璐,璐,lou˨
路,路,lou˨
澇,涝,lou˨
鷺,鹭,lou˨
