隘	隘	aai³			
循	循	chun⁴			
秦	秦	chun⁴			
巡	巡	chun⁴			
嗪	嗪	chun⁴			
螓	螓	chun⁴			
齣	出	chut¹			
出	出	chut¹			
焌	焌	chut¹/kui¹	焌豆芽	把燃燒物放進水裡熄滅；一種烹調方法	
歹	歹	daai²			
帶	带	daai³			
戴	戴	daai³			
呆	呆	daai¹	呆子，書呆子，呆一會兒	發愣，死板，不靈活，不自然	獃
大	大	daai⁶			
膽	胆	daam²			
石	石	daam³	一石米	市制容量單位	
擔	担	daam³	擔子，扁擔，重擔，貨郎擔，挑重擔，勇挑重擔，生活重擔	挑東西的工具；肩負的責任、工作、任務	
擔	担	daam¹	擔米，擔柴，擔水，擔當，擔心，擔負，擔任，擔憂，擔保，擔待，負擔，承擔，分擔，擔風險，擔當重任，擔負責任	用肩膀挑，負責，負起，承當；憂慮，記掛，操心	
耽	耽	daam¹			
眈	眈	daam¹			
儋	儋	daam¹			
聃	聃	daam¹			
氮	氮	daam⁶			
淡	淡	daam⁶	淡忘，冷淡，平淡，淡月，淡季，淡淡地說	感情不深，不熱心；沒有意味；生意不興旺	
澹	澹	daam⁶	澹災	消除	
窞	窞	daam⁶			
萏	萏	daam⁶			
淡	淡	daam⁶/taam⁵	淡水，淡綠，淡酒，清淡	鹽份少，不鹹；某成分少，不濃	
彈	弹	daan²	彈頭，彈丸，彈弓，彈道，彈藥，子彈，導彈，炮彈，炸彈，中彈，原子彈，手榴彈	（口語）彈弓或槍械發射的小丸；炸彈之類的爆炸物	
旦	旦	daan³			
誕	诞	daan³			
癉	瘅	daan³	癉惡，卒癉，彰善癉惡	憎恨	
單	单	daan¹	單薄，單獨，單純，單程，簡單，帳單，床單	一個，獨自，不複雜	
鄲	郸	daan¹			
丹	丹	daan¹			
殫	殚	daan¹			
癉	瘅	daan¹	癉瘧，癉熱	中醫指瘧疾的一種	
撢	掸	daan⁵	撢子，撢土，撢衣服，雞毛撢子	拂塵用具，以雞毛或不條作成；用撢子掃去灰塵	撣
撣	掸	daan⁵	撣撣	儆戒；恭敬	
蛋	蛋	daan⁶			
但	但	daan⁶			
彈	弹	daan⁶	彈射，彈性，彈力，彈簧，彈指，彈跳，彈頭，彈丸，彈弓，彈道，彈藥，動彈，反彈，子彈，導彈，炮彈，炸彈，中彈，彈棉花，原子彈，手榴彈	（名詞）彈弓或槍械發射的小丸；炸彈之類的爆炸物；（動詞）物體由緊縮到伸展產生力量	
憚	惮	daan⁶			
疍	疍	daan⁶			
搭	搭	daap³			
耷	耷	daap³			
答	答	daap³			
瘩	瘩	daap³			
踏	踏	daap⁶			
蹋	蹋	daap⁶			
沓	沓	daap⁶			
靼	靼	daat³			
妲	妲	daat³/taan²			
達	达	daat⁶			
繨	繨	daat⁶			
噠	哒	daat⁶			
薘	荙	daat⁶			
抵	抵	dai²			
柢	柢	dai²			
底	底	dai²			
骶	骶	dai²			
詆	诋	dai²			
邸	邸	dai²			
碲	碲	dai³			
帝	帝	dai³			
蒂	蒂	dai³			
締	缔	dai³			
諦	谛	dai³			
低	低	dai¹			
磾	磾	dai¹			
弟	弟	dai⁶			
悌	悌	dai⁶			
棣	棣	dai⁶			
遞	递	dai⁶			
第	第	dai⁶			
隸	隶	dai⁶			
逮	逮	dai⁶/doi⁶			
德	德	dak¹			
得	得	dak¹			
特	特	dak⁶			
等	等	dang²			
戥	戥	dang²			
凳	凳	dang³			櫈
鐙	镫	dang³			
磴	磴	dang³			
燈	灯	dang¹			
蹬	蹬	dang¹			
登	登	dang¹			
噔	噔	dang¹			
鄧	邓	dang⁶			
瞪	瞪	dang⁶/dang¹			
墩	墩	dan²	門墩，橋墩	厚而粗的木頭、石頭等	
蹾	蹾	dan¹			
燉	炖	dan⁶			
突	突	dat⁶			
凸	凸	dat⁶			
吐	吐	dat⁶	吐谷渾	（中國古代少數民族）	
陡	陡	dau²			
斗	斗	dau²			
抖	抖	dau²			
蚪	蚪	dau²			
枓	枓	dau²			
鬥	斗	dau³			
藪	薮	dau³	鶴藪	（地名）	
兜	兜	dau¹			
竇	窦	dau⁶			
痘	痘	dau⁶			
逗	逗	dau⁶			
讀	读	dau⁶	句讀	（古）文章裡停頓的地方	
豆	豆	dau⁶/dau²			荳
打	打	da²	打鼓，打掃，打更，打碎，打人，打架，打仗，打獵，打開，打賭，打算，敲打，拍打，攻打，毆打，打招呼，打擂台，打噴嚏，打呵欠，打草驚蛇，打抱不平，打退堂鼓，精打細算，一網打盡，趁火打劫，無精打采	拍，敲，捶，敲擊，拍打；也表示某些特定的動作、活動、行動等	
打	打	da¹	一打雞蛋，一打鉛筆	（量詞）指十二個	
地	地	dei⁶			
糴	籴	dek⁶			
笛	笛	dek⁶			
啄	啄	deuk³			
琢	琢	deuk³			
斲	斫	deuk³	斲輪，斲喪	砍，削，雕	
涿	涿	deuk³			
嗲	嗲	de²			
爹	爹	de¹			
嫡	嫡	dik¹			
滴	滴	dik¹			
的	的	dik¹			
迪	迪	dik⁶			
狄	狄	dik⁶			
翟	翟	dik⁶	墨翟	（古）長尾野雞的羽毛	
滌	涤	dik⁶			
敵	敌	dik⁶			
荻	荻	dik⁶			
頔	𬱖	dik⁶			
點	点	dim²			
店	店	dim³			
玷	玷	dim³			
惦	惦	dim³			
踮	踮	dim³			
掂	掂	dim¹			
頂	顶	ding²			
酊	酊	ding²	酩酊，酩酊大醉	喝醉的樣子	
鼎	鼎	ding²			
碇	碇	ding³			
訂	订	ding³/deng⁶			
錠	锭	ding³/ding⁶			
丁	丁	ding¹			
仃	仃	ding¹			
汀	汀	ding¹		（俗）	
町	町	ding¹			
玎	玎	ding¹			
酊	酊	ding¹	酊劑，碘酊	一種藥劑	
釘	钉	ding¹/deng¹			
叮	叮	ding¹/deng¹			
盯	盯	ding¹/deng¹			
定	定	ding⁶			
啶	啶	ding⁶			
腚	腚	ding⁶			
墊	垫	din²	墊子，椅墊，鞋墊，靠墊，草墊	（名詞）襯托的東西	
典	典	din²			
碘	碘	din²/din¹			
墊	垫	din³	墊高，墊好，墊平，墊上，墊桌子	（動詞）襯托	
顛	颠	din¹			
巔	巅	din¹			
癲	癫	din¹			
靛	靛	din⁶			
澱	淀	din⁶			
電	电	din⁶			
墊	垫	din⁶	墊錢，墊款	暫時替別人付款	
佃	佃	din⁶			
殿	殿	din⁶			
甸	甸	din⁶			
奠	奠	din⁶			
疊	叠	dip⁶			
碟	碟	dip⁶			
蝶	蝶	dip⁶			
喋	喋	dip⁶			
牒	牒	dip⁶			
諜	谍	dip⁶			
鰈	鲽	dip⁶			
跌	跌	dit³			
耋	耋	dit⁶			
迭	迭	dit⁶			
秩	秩	dit⁶			
瓞	瓞	dit⁶			
屌	屌	diu²			
弔	吊	diu³	弔唁，弔孝，弔喪	祭奠死者	
吊	吊	diu³	懸吊，吊橋，吊銷	懸掛，懸掛的；收回，扣留	
釣	钓	diu³			
銱	铞	diu³			
雕	雕	diu¹			彫
貂	貂	diu¹			
叼	叼	diu¹			
鯛	鲷	diu¹			
凋	凋	diu¹			
刁	刁	diu¹			
丟	丢	diu¹			
碉	碉	diu¹			
鵰	雕	diu¹			
掉	掉	diu⁶			
調	调	diu⁶	調查，調動，調職，調遣，調離，調配，調子，曲調，腔調，低調，強調，聲調，論調，情調，步調，單調		
跺	跺	doh²			跥
躲	躲	doh²			
嚲	亸	doh²			
埵	埵	doh²			
朵	朵	doh²/deuh²			朶
剁	剁	doh²/deuk³			
多	多	doh¹			
哆	哆	doh¹			
馱	驮	doh⁶	馱子，一馱糧，一馱貨	（名詞、量詞）用於牲口載的貨	
惰	惰	doh⁶			
墮	堕	doh⁶			
袋	袋	doi⁶			
待	待	doi⁶			
甙	甙	doi⁶			
岱	岱	doi⁶			
黛	黛	doi⁶			
靆	叇	doi⁶			
代	代	doi⁶			
玳	玳	doi⁶			
殆	殆	doi⁶/toi⁵			
怠	怠	doi⁶/toi⁵			
度	度	dok⁶	忖度，揣度，量度，測度，度量衡，度德量力，以己度人	計算，推測，估計	
鐸	铎	dok⁶			
踱	踱	dok⁶			
擋	挡	dong²			
黨	党	dong²			
檔	档	dong³			
當	当	dong³	當成，當日，當真，當鋪，上當，不當，妥當，恰當，適當，失當，勾當，當作，便當，停當，典當	合適，抵得上，認為，作為，圈套，事情發生的同一時間，典押，抵押	
鐺	铛	dong¹			
噹	当	dong¹			
當	当	dong¹	當下，當中，當然，當心，當時，當代，當眾，當兵，當官，當家，當初，當地，當頭，當局，當選，當道，當面，應當，擔當，敢當，正當，相當，當老師，不敢當	擔任，執掌，承擔，面向，阻攔，應該，正在	
襠	裆	dong¹			
蕩	荡	dong⁶			
盪	荡	dong⁶			
宕	宕	dong⁶			
碭	砀	dong⁶			
菪	菪	dong⁶			
倒	倒	do²	倒塌，倒向，倒霉，倒閉，倒換，倒茶，倒水，倒胃口，摔倒，跌倒，顛倒，倒垃圾，排山倒海	豎立的東西落下來；轉換，更換，調轉；使容器裡的東西出來	
賭	赌	do²			
堵	堵	do²			
搗	捣	do²			
島	岛	do²			
睹	睹	do²			
倒	倒	do³	倒是，倒車，倒立，倒數，倒退，倒序，倒過來，倒不如，喝倒彩，倒背如流，本末倒置	相反的，反面的，位置弄反了的；向後；跟意料相反	
妒	妒	do³			
蠹	蠹	do³			
到	到	do³			
都	都	do¹			
嘟	嘟	do¹			
叨	叨	do¹	叨念，叨叨，嘮叨，絮叨，念叨，磨叨，絮絮叨叨	羅嗦，話多	
刀	刀	do¹			
盜	盗	do⁶			
稻	稻	do⁶			
杜	杜	do⁶			
導	导	do⁶			
蹈	蹈	do⁶			
度	度	do⁶	度過，度假，度量，角度，溫度，長度，高度，進度，限度，制度，態度，風度，氣度，程度，再度，過度，年度，度量衡，度日如年，一年一度		
渡	渡	do⁶			
悼	悼	do⁶			
道	道	do⁶			
鍍	镀	do⁶			
芏	芏	do⁶			
短	短	duen²			
鍛	锻	duen³			
煅	煅	duen³			
斷	断	duen³	斷定，斷案，斷然，診斷，下斷語，當機立斷	判斷，決定，判定，一定，絕對	
端	端	duen¹			
段	段	duen⁶			
緞	缎	duen⁶			
斷	断	duen⁶	斷絕，斷電，斷交，斷奶，斷氣，割斷，截斷，繩子斷了	長形的東西折掉或從中間截開，隔絕，不繼續	
奪	夺	duet⁶			
對	对	dui³			
堆	堆	dui¹			
隊	队	dui⁶			
兌	兑	dui⁶			
督	督	duk¹			
篤	笃	duk¹			
叾	叾	duk¹			
犢	犊	duk⁶			
毒	毒	duk⁶			
瀆	渎	duk⁶			
黷	黩	duk⁶			
牘	牍	duk⁶			
獨	独	duk⁶			
讀	读	duk⁶	讀書，閱讀	（動詞）看書	
碡	碡	duk⁶			
髑	髑	duk⁶			
櫝	椟	duk⁶			
懂	懂	dung²			
董	董	dung²			
凍	冻	dung³			
棟	栋	dung³/dung⁶			
冬	冬	dung¹			
氡	氡	dung¹			
東	东	dung¹			
咚	咚	dung¹			
慟	恸	dung⁶			
胴	胴	dung⁶			
恫	恫	dung⁶			
洞	洞	dung⁶			
侗	侗	dung⁶			
動	动	dung⁶			
墩	墩	dun¹	土墩	量詞，也指土堆	
蹲	蹲	dun¹			
惇	惇	dun¹			
敦	敦	dun¹			
鐓	镦	dun¹			
噸	吨	dun¹			
遁	遁	dun⁶			
頓	顿	dun⁶			
鈍	钝	dun⁶			
沌	沌	dun⁶			
盹	盹	dun⁶			
咄	咄	dut¹	咄咄逼人	斥責，呵叱	
欸	欸	ei²		（語氣助詞）表示不以為然	
欸	欸	ei¹		（語氣助詞）表示招呼	
欸	欸	ei⁴		（語氣助詞）表示詫異	
欸	欸	ei⁶		（語氣助詞）表示答應或同意	
快	快	faai³			
塊	块	faai³			
傀	傀	faai³			
筷	筷	faai³			
噲	哙	faai³			
反	反	faan²			
返	返	faan²			
犯	犯	faan²	戰犯，要犯，貪污犯	（名詞）犯罪的人	
泛	泛	faan³			氾，汎
販	贩	faan³/faan²			
番	番	faan¹	一番，輪番，三番五次	（量詞）種，樣，回，次，遍；更替，替換	
旛	旛	faan¹			
幡	幡	faan¹			
翻	翻	faan¹			飜，繙
番	番	faan¹	番人，番邦，番茄，番薯，番石榴	未開化的；外國的，外族的	蕃
繁	繁	faan⁴			
帆	帆	faan⁴			
凡	凡	faan⁴			
煩	烦	faan⁴			
釩	钒	faan⁴			
藩	藩	faan⁴			
樊	樊	faan⁴			
礬	矾	faan⁴			
蕃	蕃	faan⁴	蕃茂，蕃昌	草木茂盛	
璠	璠	faan⁴			
瓣	瓣	faan⁶			
飯	饭	faan⁶			
範	范	faan⁶			
犯	犯	faan⁶	犯錯，犯病，犯忌，犯不著	（動詞）	
范	范	faan⁶			
梵	梵	faan⁶/faan⁴			
琺	珐	faat³			
髮	发	faat³			
法	法	faat³			
發	发	faat³			
痱	痱	fai²			
沸	沸	fai³			
廢	废	fai³			
肺	肺	fai³			
費	费	fai³			
狒	狒	fai³			
暉	晖	fai¹			
揮	挥	fai¹			
輝	辉	fai¹			
徽	徽	fai¹			
撝	撝	fai¹			
煇	煇	fai¹			
褘	袆	fai¹			
隳	隳	fai¹			
麾	麾	fai¹			
翬	翚	fai¹			
吠	吠	fai⁶			
粉	粉	fan²			
糞	粪	fan³			
訓	训	fan³			
婚	婚	fan¹			
薰	薰	fan¹			
氛	氛	fan¹			
紛	纷	fan¹			
分	分	fan¹	分開，分別，分數，分裂，分明，分離，分出，分散，分隔，分辨，分割，分成，分手，分擔，分支，分局，分會，分校，分貝，分配，分鐘，分隊，分頭，區分，滿分，劃分，零分，分工作，分公司，一百分，百分之一，分清是非，分一杯羹，不分青紅皁白	把整體變成幾個局部的個體；辨別，區別，離別；（量詞）長度、時間、成績、錢等的單位	
熏	熏	fan¹			
燻	熏	fan¹			
醺	醺	fan¹			
葷	荤	fan¹			
昏	昏	fan¹			
酚	酚	fan¹			
芬	芬	fan¹			
吩	吩	fan¹			
勳	勋	fan¹			勛
棻	棻	fan¹			
墳	坟	fan⁴			
焚	焚	fan⁴			
汾	汾	fan⁴			
憤	愤	fan⁵			
奮	奋	fan⁵			
忿	忿	fan⁵			
份	份	fan⁶			
分	分	fan⁶	分量，部分，成分，身分，過分，本分，名分，緣分，情分，糖分，養分	整體中的局部	份
拂	拂	fat¹			
惚	惚	fat¹			
囫	囫	fat¹			
弗	弗	fat¹			
忽	忽	fat¹			
窟	窟	fat¹			
氟	氟	fat¹			
笏	笏	fat¹			
彿	佛	fat¹			
伐	伐	fat⁶			
筏	筏	fat⁶			
佛	佛	fat⁶			
閥	阀	fat⁶			
乏	乏	fat⁶			
罰	罚	fat⁶			
否	否	fau²	否認，否定，否決，否則，是否，可否，與否	不然，反對，不同意	
剖	剖	fau²/pau²			
浮	浮	fau⁴			
涪	涪	fau⁴			
蜉	蜉	fau⁴			
阜	阜	fau⁶			
化	化	fa³			
花	花	fa¹			
斐	斐	fei²			
翡	翡	fei²			
匪	匪	fei²			
誹	诽	fei²			
榧	榧	fei²			
悱	悱	fei²			
菲	菲	fei²	妄自菲薄	微薄	
蜚	蜚	fei²	蜚蠊	蟑螂	
非	非	fei¹			
飛	飞	fei¹			
妃	妃	fei¹			
緋	绯	fei¹			
鯡	鲱	fei¹			
菲	菲	fei¹	菲菲，芳菲	花草茂盛	
蜚	蜚	fei¹	蜚聲，流言蜚語	飛；不實，無根據	
扉	扉	fei¹			
霏	霏	fei¹			
腓	腓	fei⁴			
肥	肥	fei⁴			
啡	啡	fe¹			
伙	伙	foh²			
火	火	foh²			
顆	颗	foh²			
夥	伙	foh²			
課	课	foh³			
貨	货	foh³			
科	科	foh¹			
蝌	蝌	foh¹			
髁	髁	foh¹			
攫	攫	fok³			
霍	霍	fok³			
藿	藿	fok³			
矍	矍	fok³			
玃	玃	fok³			
恍	恍	fong²			
幌	幌	fong²			
紡	纺	fong²			
訪	访	fong²			
彷	仿	fong²	彷彿	好像，似乎	
晃	晃	fong²			
仿	仿	fong²			倣
舫	舫	fong²			
況	况	fong³			
放	放	fong³			
方	方	fong¹			
荒	荒	fong¹			
芳	芳	fong¹			
慌	慌	fong¹			
坊	坊	fong¹			
肪	肪	fong¹			
邡	邡	fong¹			
謊	谎	fong¹/fong²			
妨	妨	fong⁴			
房	房	fong⁴			
防	防	fong⁴			
鮪	鲔	fooi²			
悔	悔	fooi³			
誨	诲	fooi³			
晦	晦	fooi³			
恢	恢	fooi¹			
魁	魁	fooi¹			
灰	灰	fooi¹			
詼	诙	fooi¹			
蝰	蝰	fooi¹			
悝	悝	fooi¹			
奎	奎	fooi¹/kwai¹			
款	款	foon²			
髖	髋	foon¹			
貛	獾	foon¹			
寬	宽	foon¹			
歡	欢	foon¹			
闊	阔	foot³			
唬	唬	foo²			
腑	腑	foo²			
撫	抚	foo²			
釜	釜	foo²			
拊	拊	foo²			
琥	琥	foo²			
俯	俯	foo²			
甫	甫	foo²			
斧	斧	foo²			
府	府	foo²			
虎	虎	foo²			
苦	苦	foo²			
富	富	foo³			
賦	赋	foo³			
庫	库	foo³			
副	副	foo³			
褲	裤	foo³			
絝	绔	foo³			
戽	戽	foo³			
俘	俘	foo¹			
枯	枯	foo¹			
呼	呼	foo¹			
麩	麸	foo¹			
孵	孵	foo¹			
膚	肤	foo¹			
孚	孚	foo¹			
敷	敷	foo¹			
夫	夫	foo¹			
骷	骷	foo¹			
軤	轷	foo¹			
刳	刳	foo¹			
跗	跗	foo¹			
伕	伕	foo¹			
桴	桴	foo¹			
莩	莩	foo¹			
趺	趺	foo¹			
芙	芙	foo⁴			
乎	乎	foo⁴			
扶	扶	foo⁴			
符	符	foo⁴			
苻	苻	foo⁴			
婦	妇	foo⁵			
腐	腐	foo⁶			
仆	仆	foo⁶	前仆後繼	跌倒；以面伏地	
赴	赴	foo⁶			
負	负	foo⁶			
附	附	foo⁶			
輔	辅	foo⁶			
父	父	foo⁶			
訃	讣	foo⁶			
咐	咐	foo⁶			
付	付	foo⁶			
傅	傅	foo⁶			
鮒	鲋	foo⁶			
駙	驸	foo⁶			
複	复	fuk¹			
輻	辐	fuk¹			
覆	覆	fuk¹			
福	福	fuk¹			
幅	幅	fuk¹			
馥	馥	fuk¹			
蝮	蝮	fuk¹			
蝠	蝠	fuk¹			
腹	腹	fuk¹			
伏	伏	fuk⁶			
袱	袱	fuk⁶			
復	复	fuk⁶			
服	服	fuk⁶			
茯	茯	fuk⁶			
宓	宓	fuk⁶		（姓）	
諷	讽	fung³			
豐	丰	fung¹			
瘋	疯	fung¹			
風	风	fung¹			
烽	烽	fung¹			
丰	丰	fung¹			
楓	枫	fung¹			
峰	峰	fung¹			峯
鋒	锋	fung¹			
蜂	蜂	fung¹			
封	封	fung¹			
犎	犎	fung¹			
酆	酆	fung¹			
逢	逢	fung⁴			
馮	冯	fung⁴			
縫	缝	fung⁴	縫紉，縫補，縫上，裁縫	（動詞）用針線連結	
縫	缝	fung⁴/fung⁶	縫子，縫隙，裂縫，門縫	（名詞）空隙，細長的口子；接合的地方	
鳳	凤	fung⁶			
奉	奉	fung⁶			
俸	俸	fung⁶/fung²			
解	解	gaai²	解釋，解決，解答，解渴，解約，解數，瞭解，不解，瓦解，註解，渾身解數	分開，分裂，說明，打開，消除；手段，本事	
蚧	蚧	gaai²/gwaai²			
誡	诫	gaai³			
介	介	gaai³			
屆	届	gaai³			
尬	尬	gaai³			
界	界	gaai³			
戒	戒	gaai³			
芥	芥	gaai³			
疥	疥	gaai³			
解	解	gaai³	解送，解款，押解，起解	押送	
骱	骱	gaai³/haai⁶			
佳	佳	gaai¹			
皆	皆	gaai¹			
街	街	gaai¹			
偕	偕	gaai¹			
秸	秸	gaai¹			
階	阶	gaai¹			
骼	骼	gaak³			
膈	膈	gaak³			
革	革	gaak³	革命，革新，革除，革履，革職，皮革，改革，變革，洗心革面	去毛加工的獸皮；改變，變更	
格	格	gaak³			
胳	胳	gaak³			
嗝	嗝	gaak³			
鎘	镉	gaak³			
隔	隔	gaak³			
減	减	gaam²			
監	监	gaam³	太監		
鑑	鉴	gaam³			鑒
監	监	gaam¹	監督，監視，監聽，監獄，監牢		
緘	缄	gaam¹			
尷	尴	gaam¹/gaam³			
筻	筻	gaang³			
耕	耕	gaang¹			
更	更	gaang¹	打更，三更半夜，更深人靜	（口語）一夜的五分之一的時間	
柬	柬	gaan²			
揀	拣	gaan²			
簡	简	gaan²			
繭	茧	gaan²			
鐧	锏	gaan²			
鹼	碱	gaan²			礆，硷
筧	笕	gaan²			
間	间	gaan³	間接，間斷，間諜，間隔，間隙，間或，相間，反間，挑撥離間，親密無間	空隙；分隔，隔開；挑撥，分化，使人不和	
諫	谏	gaan³			
澗	涧	gaan³			
間	間	gaan³	時間	（俗）	
奸	奸	gaan¹			
間	间	gaan¹	時間，空間，房間，中間，期間，之間，人間，洗手間，剎那間	時空的段落；兩個事物之中；地方，處所	
姦	奸	gaan¹			
艱	艰	gaan¹			
菅	菅	gaan¹			
蛺	蛱	gaap³			
鉀	钾	gaap³			
頰	颊	gaap³			
甲	甲	gaap³			
餄	饸	gaap³			
莢	荚	gaap³			
夾	夹	gaap³			
胛	胛	gaap³			
郟	郏	gaap³			
岬	岬	gaap³			
袷	袷	gaap³			
嗑	嗑	gaap³	嗑兒，嗑牙，嘮嗑，閒嗑	（方言）話	
筴	䇲	gaap³			
梜	𬂩	gaap³			
軋	轧	gaat³	軋賬，軋朋友，人軋人	（方言）擠，結交，核對	
皎	皎	gaau²			
佼	佼	gaau²			
鉸	铰	gaau²	鉸孔，鉸開，鉸開，鉸接	（動詞）用剪刀剪或切削	
絞	绞	gaau²			
攪	搅	gaau²			
姣	姣	gaau²			
狡	狡	gaau²			
餃	饺	gaau²			
搞	搞	gaau²			
較	较	gaau³			
鉸	铰	gaau³	鉸刀，鉸鏈	（名詞）剪刀；合頁	
窖	窖	gaau³			
覺	觉	gaau³	睡覺，午覺	（名詞）指睡眠	
教	教	gaau³			敎
校	校	gaau³	校對，校正，校改，校訂，校官，校勘，校稿，校樣，將校，上校，中校，少校	糾正，訂正，改正；一種軍銜	
滘	滘	gaau³			
酵	酵	gaau³/haau¹			
膠	胶	gaau¹			
茭	茭	gaau¹			
郊	郊	gaau¹			
蛟	蛟	gaau¹			
交	交	gaau¹			
跤	跤	gaau¹			
鮫	鲛	gaau¹			
計	计	gai³			
髻	髻	gai³			
薊	蓟	gai³			
繼	继	gai³			
炔	炔	gai³		（姓）	
雞	鸡	gai¹			鷄
笄	笄	gai¹			
偈	偈	gai⁶	偈語，偈子，偈頌，佛偈	佛經中的唱詞	
感	感	gam²			
敢	敢	gam²			
橄	橄	gam²			
錦	锦	gam²			
禁	禁	gam³	禁止，禁忌，嚴禁	不准，不許	
贛	赣	gam³			
淦	淦	gam³			
噤	噤	gam³			
金	金	gam¹			
柑	柑	gam¹			
今	今	gam¹			
甘	甘	gam¹			
苷	苷	gam¹			
禁	禁	gam¹	不禁，禁不起，情不自禁	承受，忍住，忍耐	
泔	泔	gam¹			
梗	梗	gang²			
耿	耿	gang²			
亙	亘	gang²			
埂	埂	gang²			
哽	哽	gang²			
綆	绠	gang²			
鯁	鲠	gang²/kang²			
更	更	gang³	更好，更加，更快，更多，更上一層樓	再，又，越發	
庚	庚	gang¹			
更	更	gang¹	更改，更換，更衣，更動，更新，更正，變更，打更，更迭，更生，更定	改變；經歷；一夜的五分之一的時間	
羹	羹	gang¹			
粳	粳	gang¹			
賡	赓	gang¹			
鶊	鹒	gang¹			
緊	紧	gan²			
堇	堇	gan²			
謹	谨	gan²			
僅	仅	gan²			
饉	馑	gan²			
瑾	瑾	gan²			
殣	殣	gan²/gan⁶			
靳	靳	gan³			
艮	艮	gan³			
筋	筋	gan¹			觔
跟	跟	gan¹			
根	根	gan¹			
巾	巾	gan¹			
斤	斤	gan¹			
哏	哏	gan¹			
近	近	gan⁶			
覲	觐	gan⁶/gan²/gan³			
鴿	鸽	gap³			
蛤	蛤	gap³	蛤蜊，蛤蚧		
蓋	盖	gap³		（姓）	
急	急	gap¹			
嘎	嘎	gat³			
吉	吉	gat¹			
訖	讫	gat¹			
紇	纥	gat¹	紇繨	紗線、織物等打成的結	
桔	桔	gat¹			
佶	佶	gat¹	佶倬	健壯	
疙	疙	gat⁶			
韭	韭	gau²			
枸	枸	gau²	枸杞		
苟	苟	gau²			
狗	狗	gau²			
久	久	gau²			
九	九	gau²			
玖	玖	gau²			
糾	纠	gau²/dau²			
灸	灸	gau³			
夠	够	gau³			
咎	咎	gau³			
柩	柩	gau³			
究	究	gau³			
疚	疚	gau³			
救	救	gau³			
詬	诟	gau³			
垢	垢	gau³			
廄	厩	gau³			
彀	彀	gau³			
龜	龟	gau¹	龜茲	（古）國名	
鬮	阄	gau¹/kau¹			
鳩	鸠	gau¹/kau¹			
篝	篝	gau¹/kau¹			
舊	旧	gau⁶			
賈	贾	ga²		（姓）	
架	架	ga²	架子，書架，衣架，骨架	用做支承的東西	
尕	尕	ga²			
假	假	ga²	假設，虛假，造假	（形容詞）	
斝	斝	ga²			
檟	槚	ga²			
瘕	瘕	ga²/ga¹/ga³			
駕	驾	ga³			
嫁	嫁	ga³			
稼	稼	ga³			
假	假	ga³	假期，放假，度假	（名詞）	
咖	咖	ga³			
價	价	ga³			
架	架	ga³	架橋，打架，吵架，招架，綁架	支承；毆打，爭吵；抵擋；（量詞）指有架的東西	
加	加	ga¹			
珈	珈	ga¹			
迦	迦	ga¹			
家	家	ga¹			
枷	枷	ga¹			
袈	袈	ga¹			
伽	伽	ga¹	瑜伽，伽利略，伽馬射線	（音譯用字）	
傢	家	ga¹			
嘉	嘉	ga¹			
痂	痂	ga¹			
鎵	镓	ga¹			
噶	噶	ga¹			
豭	豭	ga¹			
茄	茄	ga¹	雪茄	（音譯用字）	
葭	葭	ga¹			
跏	跏	ga¹			
㹢	㹢	ga¹			
尜	尜	ga¹/gaat³			
紀	纪	gei²	紀實，世紀，紀錄片		
幾	几	gei²	幾何，幾個，幾點	表示二到九之間不確定的數目	
己	己	gei²			
杞	杞	gei²			
麂	麂	gei²			
蟣	虮	gei²			
覬	觊	gei³			
紀	纪	gei³	紀念	（又音）	
寄	寄	gei³			
既	既	gei³			
記	记	gei³			
飢	饥	gei¹			饑
基	基	gei¹			
乩	乩	gei¹			
箕	箕	gei¹			
奇	奇	gei¹	奇數，奇偶，有奇	單的，單數的	
肌	肌	gei¹			
畸	畸	gei¹			
姬	姬	gei¹			
犄	犄	gei¹			
磯	矶	gei¹			
譏	讥	gei¹			
嘰	叽	gei¹			
覊	羁	gei¹			羈
几	几	gei¹	茶几，窗明几淨	矮小的桌子	
畿	畿	gei¹			
璣	玑	gei¹			
機	机	gei¹			
幾	几	gei¹	幾乎	非常接近	
期	期	gei¹	期年，期月	一週年，一整月	
妓	妓	gei⁶			
芰	芰	gei⁶			
技	技	gei⁶			
伎	伎	gei⁶			
忌	忌	gei⁶			
頸	颈	geng²			
鏡	镜	geng³			
驚	惊	geng¹		（語音）	
麖	麖	geng¹/ging¹			
鋸	锯	geuh³/gui³			
腳	脚	geuk³			
僵	僵	geung¹			
羌	羌	geung¹			
殭	僵	geung¹			
蜣	蜣	geung¹			
薑	姜	geung¹			
韁	缰	geung¹			
疆	疆	geung¹			
姜	姜	geung¹			
強	强	geung⁶	強嘴，倔強	執拗，固執，不屈服，不聽勸，強硬不屈	犟
糨	糨	geung⁶			
棘	棘	gik¹			
激	激	gik¹			
擊	击	gik¹			
戟	戟	gik¹			
亟	亟	gik¹			
殛	殛	gik¹			
革	革	gik¹	病革	急，危急	
極	极	gik⁶			
撿	捡	gim²			
瞼	睑	gim²			
檢	检	gim²			
劍	剑	gim³			
兼	兼	gim¹			
鶼	鹣	gim¹			
搛	搛	gim¹			
儉	俭	gim⁶			
景	景	ging²			
境	境	ging²			
警	警	ging²			
