挨	挨	aːi˥	挨户，挨家，挨近	依次，顺次，靠近	
曜	曜	jiːu˨			
鹞	鷂	jiːu˨			
耀	耀	jiːu˨			
姚	姚	jiːu˨˩			
谣	謠	jiːu˨˩			
鳐	鰩	jiːu˨˩			
饶	饒	jiːu˨˩			
飖	颻	jiːu˨˩			
娆	嬈	jiːu˨˩			
摇	搖	jiːu˨˩			
瑶	瑤	jiːu˨˩			
尧	堯	jiːu˨˩			
窑	窯	jiːu˨˩			
遥	遙	jiːu˨˩			
洮	洮	jiːu˨˩	洮湖	（湖名）	
徭	徭	jiːu˨˩			
舀	舀	jiːu˩˧			
依	依	jiː˥			
衣	衣	jiː˥			
铱	銥	jiː˥			
漪	漪	jiː˥			
医	醫	jiː˥			
伊	伊	jiː˥			
黟	黟	jiː˥			
猗	猗	jiː˥			
祎	禕	jiː˥			
镱	鐿	jiː˧			
薏	薏	jiː˧			
癔	癔	jiː˧			
意	意	jiː˧			
懿	懿	jiː˧			
椅	椅	jiː˧˥			
绮	綺	jiː˧˥			
倚	倚	jiː˧˥			
旖	旖	jiː˧˥			
齮	齮	jiː˧˥			
贰	貳	jiː˨			
异	異	jiː˨			
肄	肄	jiː˨			
义	義	jiː˨			
劓	劓	jiː˨			
二	二	jiː˨			
易	易	jiː˨	易懂，容易		
诒	詒	jiː˨˩			
怡	怡	jiː˨˩			
而	而	jiː˨˩			
谊	誼	jiː˨˩			
颐	頤	jiː˨˩			
迤	迤	jiː˨˩	逶迤		
仪	儀	jiː˨˩			
姨	姨	jiː˨˩			
宜	宜	jiː˨˩			
夷	夷	jiː˨˩			
疑	疑	jiː˨˩			
贻	貽	jiː˨˩			
儿	兒	jiː˨˩			
痍	痍	jiː˨˩			
胰	胰	jiː˨˩			
移	移	jiː˨˩			
饴	飴	jiː˨˩			
咦	咦	jiː˨˩			
彝	彞	jiː˨˩			
沂	沂	jiː˨˩	沂河	（水名）	
眙	眙	jiː˨˩			
蛇	蛇	jiː˨˩	委蛇，虚与委蛇		
匜	匜	jiː˨˩			
议	議	jiː˩˧			
矣	矣	jiː˩˧			
以	以	jiː˩˧			
迩	邇	jiː˩˧			
耳	耳	jiː˩˧			
已	已	jiː˩˧			
拟	擬	jiː˩˧			
迤	迤	jiː˩˧	迤逦		
洱	洱	jiː˩˧			
尔	爾	jiː˩˧			
苡	苡	jiː˩˧			
蜿	蜿	jyːn˥			
鸳	鴛	jyːn˥			
渊	淵	jyːn˥			
冤	冤	jyːn˥			寃
鸢	鳶	jyːn˥			
怨	怨	jyːn˧			
宛	宛	jyːn˧˥			
苑	苑	jyːn˧˥			
婉	婉	jyːn˧˥			
琬	琬	jyːn˧˥			
菀	菀	jyːn˧˥			
畹	畹	jyːn˧˥			
愿	願	jyːn˨			
院	院	jyːn˨			
媛	媛	jyːn˨			
县	縣	jyːn˨			
炫	炫	jyːn˨/jyːn˨˩			
远	遠	jyːn˨/jyːn˩˧	敬而远之	不接近，不亲近	
辕	轅	jyːn˨˩			
圆	圓	jyːn˨˩			
猿	猿	jyːn˨˩			
眩	眩	jyːn˨˩			
缘	緣	jyːn˨˩			
元	元	jyːn˨˩			
员	員	jyːn˨˩			
玄	玄	jyːn˨˩			
芫	芫	jyːn˨˩			
源	源	jyːn˨˩			
园	園	jyːn˨˩			
铅	鉛	jyːn˨˩			
烷	烷	jyːn˨˩			
沿	沿	jyːn˨˩			
悬	懸	jyːn˨˩			
原	原	jyːn˨˩			
袁	袁	jyːn˨˩			
完	完	jyːn˨˩			
沅	沅	jyːn˨˩			
纨	紈	jyːn˨˩			
塬	塬	jyːn˨˩		（地名）	
螈	螈	jyːn˨˩			
鼋	黿	jyːn˨˩			
圜	圜	jyːn˨˩	圜丘，圜墙，圜扉	圆，圆形	
丸	丸	jyːn˨˩/jyːn˧˥			
爰	爰	jyːn˨˩/wuːn˨˩			
阮	阮	jyːn˩˧			
软	軟	jyːn˩˧			
远	遠	jyːn˩˧	远处，永远，深远	不近，距离或时间长	
阅	閱	jyːt˨			
穴	穴	jyːt˨			
越	越	jyːt˨			
钇	釔	jyːt˨			
钺	鉞	jyːt˨			
曰	曰	jyːt˨			
月	月	jyːt˨			
粤	粵	jyːt˨			
悦	悅	jyːt˨			
玥	玥	jyːt˨			
乙	乙	jyːt˨/jyːt˧			
迂	迂	jyː˥			
于	於	jyː˥	于是，终于	（介词）	
淤	淤	jyː˥			
酗	酗	jyː˧/hɵy˧˥/hɵy˧			
瘀	瘀	jyː˧˥			
妪	嫗	jyː˧˥			
伛	傴	jyː˧˥			
谕	諭	jyː˨			
寓	寓	jyː˨			
裕	裕	jyː˨			
御	御	jyː˨			
愈	愈	jyː˨			
驭	馭	jyː˨			
愈	癒	jyː˨			
预	預	jyː˨			
遇	遇	jyː˨			
誉	譽	jyː˨			
豫	豫	jyː˨			
与	與	jyː˨	与会，与赛，参与	（动词）参加	
语	語	jyː˨	不以语人	（动词）告诉	
御	禦	jyː˨			
喻	喻	jyː˨			
蓣	蕷	jyː˨			
吁	籲	jyː˨			
滪	澦	jyː˨			
渝	渝	jyː˨˩			
舆	輿	jyː˨˩			
揄	揄	jyː˨˩			
如	如	jyː˨˩			
俞	俞	jyː˨˩			
虞	虞	jyː˨˩			
萸	萸	jyː˨˩			
隅	隅	jyː˨˩			
予	予	jyː˨˩	予取予求	我，吾	
觎	覦	jyː˨˩			
儒	儒	jyː˨˩			
谀	諛	jyː˨˩			
茹	茹	jyː˨˩			
狳	狳	jyː˨˩			
嚅	嚅	jyː˨˩			
娱	娛	jyː˨˩			
渔	漁	jyː˨˩			
盂	盂	jyː˨˩			
鱼	魚	jyː˨˩			
欤	歟	jyː˨˩			
余	余	jyː˨˩		（代词、姓）我	
蠕	蠕	jyː˨˩			
于	于	jyː˨˩		（姓）	
蝓	蝓	jyː˨˩			
榆	榆	jyː˨˩			
余	餘	jyː˨˩	余下，余留，多余，业余，剩余，有余，之余，余音绕梁，不遗余力，心有余悸	剩下的，多出的，不尽的，残留的，未完的	馀
禺	禺	jyː˨˩			
逾	逾	jyː˨˩			
臾	臾	jyː˨˩			
竽	竽	jyː˨˩			
濡	濡	jyː˨˩			
愚	愚	jyː˨˩			
妤	妤	jyː˨˩			
愉	愉	jyː˨˩			
瑜	瑜	jyː˨˩			
逾	踰	jyː˨˩			
腴	腴	jyː˨˩			
薷	薷	jyː˨˩			
雩	雩	jyː˨˩			
玙	璵	jyː˨˩			
孺	孺	jyː˨˩/jyː˨			
雨	雨	jyː˩˧			
羽	羽	jyː˩˧			
乳	乳	jyː˩˧			
宇	宇	jyː˩˧			
语	語	jyː˩˧	语言，口语	（名词）话	
与	與	jyː˩˧	与其，授与，给与，赠与，与虎谋皮，与人为善，与人方便，时不我与	（连词）和，跟；（动词）给，赠，赞助	
禹	禹	jyː˩˧			
龉	齬	jyː˩˧			
圄	圄	jyː˩˧			
瑀	瑀	jyː˩˧			
予	予	jyː˩˧	赐予，赋予，给予，赠予，寄予，不予置評	授，給	
敔	敔	jyː˩˧			
貐	貐	jyː˩˧			
汝	汝	jyː˩˧			
圉	圉	jyː˩˧			
窳	窳	jyː˩˧			
约	約	jœːk˧			
钥	鑰	jœːk˨			
药	藥	jœːk˨			
若	若	jœːk˨	若干，倘若，如若，宛若，旁若无人，欣喜若狂	如，似，如果，假如，好像	
虐	虐	jœːk˨			
谑	謔	jœːk˨			
跃	躍	jœːk˨			
疟	瘧	jœːk˨			
蒻	蒻	jœːk˨			
弱	弱	jœːk˨			
籥	籥	jœːk˨			
龠	龠	jœːk˨			
瀹	瀹	jœːk˨			
秧	秧	jœːŋ˥			
鸯	鴦	jœːŋ˥			
央	央	jœːŋ˥			
殃	殃	jœːŋ˥			
鞅	鞅	jœːŋ˧˥			
让	讓	jœːŋ˨			
样	樣	jœːŋ˨			
漾	漾	jœːŋ˨			
壤	壤	jœːŋ˨			
酿	釀	jœːŋ˨			
恙	恙	jœːŋ˨			
洋	洋	jœːŋ˨˩			
旸	暘	jœːŋ˨˩			
佯	佯	jœːŋ˨˩			
扬	揚	jœːŋ˨˩			
阳	陽	jœːŋ˨˩			
羊	羊	jœːŋ˨˩			
飏	颺	jœːŋ˨˩			
疡	瘍	jœːŋ˨˩			
烊	烊	jœːŋ˨˩			
杨	楊	jœːŋ˨˩			
徉	徉	jœːŋ˨˩			
瀼	瀼	jœːŋ˨˩			
禳	禳	jœːŋ˨˩			
穰	穰	jœːŋ˨˩			
蘘	蘘	jœːŋ˨˩			
炀	煬	jœːŋ˨˩			
攘	攘	jœːŋ˨˩	攘外，攘夺，攘除，攘臂，攘为己有	抢夺，侵夺，排斥，抵御；捋起	
仰	仰	jœːŋ˩˧			
养	養	jœːŋ˩˧			
氧	氧	jœːŋ˩˧			
攘	攘	jœːŋ˩˧	熙攘，扰攘，熙熙攘攘	扰乱	
痒	癢	jœːŋ˩˧			
嚷	嚷	jœːŋ˩˧/jœːŋ˨			
跩	跩	jɐi˨			
曳	曳	jɐi˨			
音	音	jɐm˥			
阴	陰	jɐm˥			
钦	欽	jɐm˥			
歆	歆	jɐm˥			
鑫	鑫	jɐm˥			
喑	喑	jɐm˥			
荫	蔭	jɐm˧			
窨	窨	jɐm˧			
饮	飲	jɐm˧˥			
妊	妊	jɐm˨			
饪	飪	jɐm˨			
任	任	jɐm˨	任务，任意，任命，任职，任用，任凭，信任，重任，担任，就任，离任，委任，连任，放任，听之任之，任重道远	担当，承受，职责，职务，委派	
任	任	jɐm˨	任县，任丘	（俗：姓，地名）	
赁	賃	jɐm˨			
衽	衽	jɐm˨			袵
壬	壬	jɐm˨˩			
霪	霪	jɐm˨˩			
淫	淫	jɐm˨˩			
吟	吟	jɐm˨˩			
任	任	jɐm˨˩	任县，任丘	（姓，地名）	
荏	荏	jɐm˩˧/jɐm˨			
氤	氤	jɐn˥			
恩	恩	jɐn˥			
因	因	jɐn˥			
茵	茵	jɐn˥			
堙	堙	jɐn˥			陻
姻	姻	jɐn˥			
甄	甄	jɐn˥			
昕	昕	jɐn˥			
欣	欣	jɐn˥			
殷	殷	jɐn˥			
忻	忻	jɐn˥			
洇	洇	jɐn˥			
印	印	jɐn˧			
隐	隱	jɐn˧˥			
瘾	癮	jɐn˧˥			
忍	忍	jɐn˧˥			
衅	釁	jɐn˨			
孕	孕	jɐn˨			
胤	胤	jɐn˨			
纫	紉	jɐn˨			
刃	刃	jɐn˨			
仞	仞	jɐn˨			
韧	韌	jɐn˨/ŋɐŋ˨			
仁	仁	jɐn˨˩			
夤	夤	jɐn˨˩			
寅	寅	jɐn˨˩			
人	人	jɐn˨˩			
蚓	蚓	jɐn˩˧			
引	引	jɐn˩˧			
泣	泣	jɐp˥			
熠	熠	jɐp˥			
悒	悒	jɐp˥			
翕	翕	jɐp˥			
挹	挹	jɐp˥			
邑	邑	jɐp˥			
揖	揖	jɐp˥			
入	入	jɐp˨			
壹	壹	jɐt˥			
一	一	jɐt˥			
逸	逸	jɐt˨			
轶	軼	jɐt˨			
日	日	jɐt˨			
溢	溢	jɐt˨			
佚	佚	jɐt˨			
镒	鎰	jɐt˨			
丘	丘	jɐu˥			
休	休	jɐu˥			
幽	幽	jɐu˥			
忧	憂	jɐu˥			
邱	邱	jɐu˥			
优	優	jɐu˥			
蚯	蚯	jɐu˥			
貅	貅	jɐu˥			
鸺	鵂	jɐu˥			
咻	咻	jɐu˥			
髹	髹	jɐu˥			
幼	幼	jɐu˧			
黝	黝	jɐu˧˥			
柚	柚	jɐu˧˥	柚子，葡萄柚	一种常绿乔木	
釉	釉	jɐu˨			
又	又	jɐu˨			
囿	囿	jɐu˨			
宥	宥	jɐu˨			
侑	侑	jɐu˨			
佑	佑	jɐu˨			祐
右	右	jɐu˨			
鼬	鼬	jɐu˨			
狖	狖	jɐu˨			
疣	疣	jɐu˨˩			
邮	郵	jɐu˨˩			
柔	柔	jɐu˨˩			
攸	攸	jɐu˨˩			
油	油	jɐu˨˩			
揉	揉	jɐu˨˩			
游	遊	jɐu˨˩			
铀	鈾	jɐu˨˩			
酋	酋	jɐu˨˩			
犹	猶	jɐu˨˩			
鱿	魷	jɐu˨˩			
悠	悠	jɐu˨˩			
由	由	jɐu˨˩			
尤	尤	jɐu˨˩			
蹂	蹂	jɐu˨˩			
游	游	jɐu˨˩			
蚰	蚰	jɐu˨˩	蚰蜒		
楢	楢	jɐu˨˩			
鞣	鞣	jɐu˨˩			
猷	猷	jɐu˨˩			
柚	柚	jɐu˨˩/jɐu˧˥	柚木	一种落叶乔木	
酉	酉	jɐu˩˧			
友	友	jɐu˩˧			
诱	誘	jɐu˩˧			
有	有	jɐu˩˧			
莠	莠	jɐu˩˧			
牖	牖	jɐu˩˧			
唷	唷	jɔː˥			
哟	喲	jɔː˥			
赢	贏	jɛːŋ˨˩		（口语）	
夜	夜	jɛː˨			
偌	偌	jɛː˨			
椰	椰	jɛː˨˩			
邪	邪	jɛː˨˩	是邪，非邪，莫邪	（文言）表示疑问、感叹等语气	耶
揶	揶	jɛː˨˩			
耶	耶	jɛː˨˩			
爷	爺	jɛː˨˩			
琊	琊	jɛː˨˩	琅琊	（地名）	
冶	冶	jɛː˩˧			
野	野	jɛː˩˧			
惹	惹	jɛː˩˧			
若	若	jɛː˩˧	般若，兰若	（梵文音译词）	
抑	抑	jɪk˥			
亿	億	jɪk˥			
臆	臆	jɪk˥			
益	益	jɪk˥			
忆	憶	jɪk˥			
阋	鬩	jɪk˥			
疫	疫	jɪk˨			
译	譯	jɪk˨			
绎	繹	jɪk˨			
亦	亦	jɪk˨			
奕	奕	jɪk˨			
驿	驛	jɪk˨			
役	役	jɪk˨			
翊	翊	jɪk˨			
液	液	jɪk˨			
翼	翼	jɪk˨			
弈	弈	jɪk˨			
蜴	蜴	jɪk˨			
腋	腋	jɪk˨			
翌	翌	jɪk˨			
易	易	jɪk˨	易经，贸易，以物易物，移风易俗，时移势易		
弋	弋	jɪk˨			
掖	掖	jɪk˨			
杙	杙	jɪk˨			
燚	燚	jɪk˨			
怿	懌	jɪk˨			
逆	逆	jɪk˨/ŋaːk˨			
瑛	瑛	jɪŋ˥			
膺	膺	jɪŋ˥			
缨	纓	jɪŋ˥			
婴	嬰	jɪŋ˥			
应	應	jɪŋ˥	应该，理应		
樱	櫻	jɪŋ˥			
英	英	jɪŋ˥			
鹦	鸚	jɪŋ˥			
鹰	鷹	jɪŋ˥			
应	應	jɪŋ˧	应用，答应，回应		
映	映	jɪŋ˧˥			
影	影	jɪŋ˧˥			
认	認	jɪŋ˨			
营	營	jɪŋ˨˩			
潆	瀠	jɪŋ˨˩			
形	形	jɪŋ˨˩			
刑	刑	jɪŋ˨˩			
蝇	蠅	jɪŋ˨˩			
仍	仍	jɪŋ˨˩			
嬴	嬴	jɪŋ˨˩			
瀛	瀛	jɪŋ˨˩			
萦	縈	jɪŋ˨˩			
萤	螢	jɪŋ˨˩			
邢	邢	jɪŋ˨˩			
赢	贏	jɪŋ˨˩	赢钱，输赢		
楹	楹	jɪŋ˨˩			
迎	迎	jɪŋ˨˩			迊
盈	盈	jɪŋ˨˩			
莹	瑩	jɪŋ˨˩			
凝	凝	jɪŋ˨˩			
型	型	jɪŋ˨˩			
荧	熒	jɪŋ˨˩			
陉	陘	jɪŋ˨˩			
荥	滎	jɪŋ˨˩			
蓥	鎣	jɪŋ˨˩			
铏	鉶	jɪŋ˨˩			
滢	瀅	jɪŋ˨˩/jɪŋ˨			
郢	郢	jɪŋ˩˧			
润	潤	jɵn˨			
闰	閏	jɵn˨			
锐	銳	jɵy˨			
裔	裔	jɵy˨			
睿	睿	jɵy˨			
芮	芮	jɵy˨			
蕤	蕤	jɵy˨˩			
蕊	蕊	jɵy˩˧			
煜	煜	jʊk˥			
毓	毓	jʊk˥			
郁	郁	jʊk˥			
沃	沃	jʊk˥			
昱	昱	jʊk˥			
彧	彧	jʊk˥			
顼	頊	jʊk˥			
旭	旭	jʊk˥			
蓐	蓐	jʊk˨			
褥	褥	jʊk˨			
钰	鈺	jʊk˨			
浴	浴	jʊk˨			
辱	辱	jʊk˨			
育	育	jʊk˨			
狱	獄	jʊk˨			
肉	肉	jʊk˨			
欲	欲	jʊk˨			
玉	玉	jʊk˨			
欲	慾	jʊk˨			
缛	縟	jʊk˨			
鬻	鬻	jʊk˨			
峪	峪	jʊk˨/jyː˨			
翁	翁	jʊŋ˥			
雍	雍	jʊŋ˥			
廱	廱	jʊŋ˥			
邕	邕	jʊŋ˥			
嗡	嗡	jʊŋ˥			
饔	饔	jʊŋ˥			
佣	佣	jʊŋ˧˥			
踊	踴	jʊŋ˧˥			
俑	俑	jʊŋ˧˥			
涌	湧	jʊŋ˧˥			
冗	冗	jʊŋ˧˥			
拥	擁	jʊŋ˧˥			
臃	臃	jʊŋ˧˥			
蛹	蛹	jʊŋ˧˥			
恿	慂	jʊŋ˧˥			
用	用	jʊŋ˨			
戎	戎	jʊŋ˨˩			
茸	茸	jʊŋ˨˩			
鳙	鱅	jʊŋ˨˩			
慵	慵	jʊŋ˨˩			
溶	溶	jʊŋ˨˩			
融	融	jʊŋ˨˩			
榕	榕	jʊŋ˨˩			
蓉	蓉	jʊŋ˨˩			
佣	傭	jʊŋ˨˩			
庸	庸	jʊŋ˨˩			
熔	熔	jʊŋ˨˩			
镛	鏞	jʊŋ˨˩			
容	容	jʊŋ˨˩			
狨	狨	jʊŋ˨˩			
绒	絨	jʊŋ˨˩/jʊŋ˧˥			
勇	勇	jʊŋ˩˧			
佳	佳	kaːi˥			
皆	皆	kaːi˥			
街	街	kaːi˥			
偕	偕	kaːi˥			
秸	秸	kaːi˥			
阶	階	kaːi˥			
诫	誡	kaːi˧			
介	介	kaːi˧			
届	屆	kaːi˧			
尬	尬	kaːi˧			
界	界	kaːi˧			
戒	戒	kaːi˧			
芥	芥	kaːi˧			
疥	疥	kaːi˧			
解	解	kaːi˧	解送，解款，押解，起解	押送	
解	解	kaːi˧˥	解释，解决，解答，解渴，解约，解数，了解，不解，瓦解，注解，浑身解数	分开，分裂，说明，打开，消除；手段，本事	
蚧	蚧	kaːi˧˥/kwaːi˧˥			
骼	骼	kaːk˧			
膈	膈	kaːk˧			
革	革	kaːk˧	革命，革新，革除，革履，革職，皮革，改革，變革，洗心革面	去毛加工的兽皮；改变，变更	
格	格	kaːk˧			
胳	胳	kaːk˧			
嗝	嗝	kaːk˧			
镉	鎘	kaːk˧			
隔	隔	kaːk˧			
监	監	kaːm˥	监督，监视，监听，监狱，监牢		
缄	緘	kaːm˥			
尴	尷	kaːm˥/kaːm˧			
监	監	kaːm˧	太监		
鉴	鑑	kaːm˧			鑒
减	減	kaːm˧˥			
奸	奸	kaːn˥			
间	間	kaːn˥	时间，空间，房间，中间，期间，之间，人间，洗手间，刹那间	时空的段落；两个事物之中；地方，处所	
奸	姦	kaːn˥			
艰	艱	kaːn˥			
间	間	kaːn˧	间接，间断，间谍，间隔，间隙，间或，相间，反间，挑拨离间，亲密无间	空隙；分隔，隔开；挑拨，分化，使人不和	
谏	諫	kaːn˧			
涧	澗	kaːn˧			
間	間	kaːn˧	时间	（俗）	
柬	柬	kaːn˧˥			
拣	揀	kaːn˧˥			
简	簡	kaːn˧˥			
茧	繭	kaːn˧˥			
锏	鐧	kaːn˧˥			
碱	鹼	kaːn˧˥			礆，硷
笕	筧	kaːn˧˥			
蛱	蛺	kaːp˧			
钾	鉀	kaːp˧			
颊	頰	kaːp˧			
甲	甲	kaːp˧			
饸	餄	kaːp˧			
荚	莢	kaːp˧			
夹	夾	kaːp˧			
胛	胛	kaːp˧			
郏	郟	kaːp˧			
岬	岬	kaːp˧			
袷	袷	kaːp˧			
嗑	嗑	kaːp˧	嗑儿，嗑牙，唠嗑，闲嗑	（方言）话	
轧	軋	kaːt˧	轧账，轧朋友，人轧人	（方言）挤，结交，核对	
胶	膠	kaːu˥			
茭	茭	kaːu˥			
郊	郊	kaːu˥			
蛟	蛟	kaːu˥			
交	交	kaːu˥			
跤	跤	kaːu˥			
鲛	鮫	kaːu˥			
较	較	kaːu˧			
铰	鉸	kaːu˧	铰刀，铰链	（名词）剪刀；合页	
窖	窖	kaːu˧			
觉	覺	kaːu˧	睡觉，午觉	（名词）指睡眠	
教	教	kaːu˧			敎
校	校	kaːu˧	校对，校正，校改，校订，校官，校勘，校稿，校样，将校，上校，中校，少校	纠正，订正，改正；一种军衔	
滘	滘	kaːu˧			
酵	酵	kaːu˧/haːu˥			
皎	皎	kaːu˧˥			
佼	佼	kaːu˧˥			
铰	鉸	kaːu˧˥	铰孔，铰开，铰开，铰接	（动词）用剪刀剪或切削	
绞	絞	kaːu˧˥			
搅	攪	kaːu˧˥			
姣	姣	kaːu˧˥			
狡	狡	kaːu˧˥			
饺	餃	kaːu˧˥			
搞	搞	kaːu˧˥			
耕	耕	kaːŋ˥			
更	更	kaːŋ˥	打更，三更半夜，更深人静	（口语）一夜的五分之一的时间	
加	加	kaː˥			
珈	珈	kaː˥			
迦	迦	kaː˥			
家	家	kaː˥			
枷	枷	kaː˥			
袈	袈	kaː˥			
伽	伽	kaː˥			
家	傢	kaː˥			
嘉	嘉	kaː˥			
痂	痂	kaː˥			
镓	鎵	kaː˥			
噶	噶	kaː˥			
豭	豭	kaː˥			
茄	茄	kaː˥	雪茄	（音译用字）	
驾	駕	kaː˧			
嫁	嫁	kaː˧			
稼	稼	kaː˧			
假	假	kaː˧	假期，放假，度假	（名词）	
咖	咖	kaː˧			
价	價	kaː˧			
架	架	kaː˧	架桥，打架，吵架，招架，绑架	支承；殴打，争吵；抵挡；（量词）指有架的东西	
贾	賈	kaː˧˥		（姓）	
架	架	kaː˧˥	架子，书架，衣架，骨架	用做支承的东西	
尕	尕	kaː˧˥			
假	假	kaː˧˥	假设，虚假，造假	（形容词）	
斝	斝	kaː˧˥			
槚	檟	kaː˧˥			
饥	飢	kei˥			饑
基	基	kei˥			
乩	乩	kei˥			
箕	箕	kei˥			
奇	奇	kei˥	奇数，奇偶，有奇	单的，单数的	
肌	肌	kei˥			
畸	畸	kei˥			
姬	姬	kei˥			
犄	犄	kei˥			
矶	磯	kei˥			
讥	譏	kei˥			
叽	嘰	kei˥			
羁	覊	kei˥			羈
几	几	kei˥	茶几，窗明几净	矮小的桌子	
畿	畿	kei˥			
玑	璣	kei˥			
机	機	kei˥			
几	幾	kei˥	几乎	非常接近	
期	期	kei˥	期年，期月	一周年，一整月	
觊	覬	kei˧			
纪	紀	kei˧	纪念	（又音）	
寄	寄	kei˧			
既	既	kei˧			
记	記	kei˧			
纪	紀	kei˧˥	纪实，世纪，纪录片		
几	幾	kei˧˥	几何，几个，几点	表示二到九之间不确定的数目	
己	己	kei˧˥			
杞	杞	kei˧˥			
妓	妓	kei˨			
芰	芰	kei˨			
技	技	kei˨			
伎	伎	kei˨			
忌	忌	kei˨			
兼	兼	kiːm˥			
鹣	鶼	kiːm˥			
搛	搛	kiːm˥			
剑	劍	kiːm˧			
捡	撿	kiːm˧˥			
睑	瞼	kiːm˧˥			
检	檢	kiːm˧˥			
俭	儉	kiːm˨			
坚	堅	kiːn˥			
肩	肩	kiːn˥			
犍	犍	kiːn˥	犍牛	阉割过的公牛	
鲣	鰹	kiːn˥			
腱	腱	kiːn˧			
建	建	kiːn˧			
见	見	kiːn˧			
蹇	蹇	kiːn˧˥			
健	健	kiːn˨			
件	件	kiːn˨			
键	鍵	kiːn˨			
劫	劫	kiːp˧			刦，刼，刧
洁	潔	kiːt˧			
结	結	kiːt˧			
拮	拮	kiːt˧			
杰	傑	kiːt˨			
桀	桀	kiːt˨			
偈	偈	kiːt˨		勇武	
娇	嬌	kiːu˥			
骄	驕	kiːu˥			
浇	澆	kiːu˥/hiːu˥			
叫	叫	kiːu˧			
矫	矯	kiːu˧˥			
缴	繳	kiːu˧˥			
皦	皦	kiːu˧˥			
撬	撬	kiːu˨			
轿	轎	kiːu˨			
高	高	kou˥			
糕	糕	kou˥			
膏	膏	kou˥			
羔	羔	kou˥			
睾	睾	kou˥			
皋	皋	kou˥			
锆	鋯	kou˧			
告	告	kou˧			
郜	郜	kou˧			
稿	稿	kou˧˥			
槁	槁	kou˧˥			
镐	鎬	kou˧˥	镐头，铁镐	刨土的工具	
缟	縞	kou˧˥			
杲	杲	kou˧˥			
藁	藁	kou˧˥			
诰	誥	kou˨			
冠	冠	kuːn˥	冠冕，桂冠	（名词）指帽子	
官	官	kuːn˥			
棺	棺	kuːn˥			
观	觀	kuːn˥	观察，观摩，观念，乐观，参观，壮观，奇观，客观，静观其变，走马观花	看，看法，样子，景象	
莞	莞	kuːn˥	莞草	（姓、植物名）	
倌	倌	kuːn˥			
鹳	鸛	kuːn˧			
冠	冠	kuːn˧	冠军，夺冠，冠以	（动词）指戴帽子或加上名号，也指竞赛中获得第一名	
灌	灌	kuːn˧			
盥	盥	kuːn˧			
罐	罐	kuːn˧			
贯	貫	kuːn˧			
观	觀	kuːn˧	道观，楼观	道教的寺庙	
管	管	kuːn˧˥			
馆	館	kuːn˧˥			
莞	莞	kuːn˧˥	东莞	（地名）	
脘	脘	kuːn˧˥			
姑	姑	kuː˥			
沽	沽	kuː˥			
蛄	蛄	kuː˥			
轱	軲	kuː˥			
咕	咕	kuː˥			
孤	孤	kuː˥			
辜	辜	kuː˥			
菇	菇	kuː˥			菰
觚	觚	kuː˥			
菰	菰	kuː˥		茭白	
雇	僱	kuː˧			雇
顾	顧	kuː˧			
锢	錮	kuː˧			
故	故	kuː˧			
固	固	kuː˧			
蛊	蠱	kuː˧˥			
钴	鈷	kuː˧˥			
牯	牯	kuː˧˥			
贾	賈	kuː˧˥	商贾	指商人或买卖	
古	古	kuː˧˥			
估	估	kuː˧˥			
鼓	鼓	kuː˧˥			
股	股	kuː˧˥			
诂	詁	kuː˧˥			
乖	乖	kwaːi˥			
怪	怪	kwaːi˧			
拐	拐	kwaːi˧˥			
柺	柺	kwaːi˧˥			
蒯	蒯	kwaːi˧˥			
掴	摑	kwaːk˧			
关	關	kwaːn˥			
鳏	鰥	kwaːn˥			
掼	摜	kwaːn˧			
惯	慣	kwaːn˧			
刮	刮	kwaːt˧			
刮	颳	kwaːt˧			
呱	呱	kwaː˥	呱呱叫		
瓜	瓜	kwaː˥			
挂	掛	kwaː˧			
卦	卦	kwaː˧			
褂	褂	kwaː˧			
寡	寡	kwaː˧˥			
呱	呱	kwaː˧˥	拉呱儿	（方言）闲谈	
龟	龜	kwɐi˥			
硅	硅	kwɐi˥			
闺	閨	kwɐi˥			
归	歸	kwɐi˥			
圭	圭	kwɐi˥			
瑰	瑰	kwɐi˥	瑰丽		
鲑	鮭	kwɐi˥			
皈	皈	kwɐi˥			
珪	珪	kwɐi˥			
癸	癸	kwɐi˧			
瑰	瑰	kwɐi˧	玫瑰		
季	季	kwɐi˧			
桂	桂	kwɐi˧			
悸	悸	kwɐi˧			
贵	貴	kwɐi˧			
炅	炅	kwɐi˧		（姓）	
刿	劌	kwɐi˧			
晷	晷	kwɐi˧˥			
鬼	鬼	kwɐi˧˥			
轨	軌	kwɐi˧˥			
诡	詭	kwɐi˧˥			
簋	簋	kwɐi˧˥			
柜	櫃	kwɐi˨			
馈	饋	kwɐi˨			
跪	跪	kwɐi˨			
篑	簣	kwɐi˨			
筠	筠	kwɐn˥		（地名）	
君	君	kwɐn˥			
钧	鈞	kwɐn˥			
军	軍	kwɐn˥			
均	均	kwɐn˥			
纶	綸	kwɐn˥	纶巾	青丝带	
鋆	鋆	kwɐn˥		（人名用字）	
锟	錕	kwɐn˥			
鲲	鯤	kwɐn˥			
莙	莙	kwɐn˥			
龟	龜	kwɐn˥	龟裂	皮肤音寒冷干燥而开裂	
棍	棍	kwɐn˧			
滚	滾	kwɐn˧˥			
鲧	鯀	kwɐn˧˥			
郡	郡	kwɐn˨			
